name,action-time-start,action-time-end,action-total-seconds,worker,cycle
store-training-context,1713190135.7934916,1713190136.455177,0.66169,0f6c6657-b591-4523-935d-1abd09835f5e,1
preprocess-into-train-test-and-evalute-tensors,1713190150.2562358,1713190155.5140362,5.2578,0f6c6657-b591-4523-935d-1abd09835f5e,1
local-model-training,1713190210.2567608,1713190297.356974,87.10021,0f6c6657-b591-4523-935d-1abd09835f5e,1
store-training-context,1713190464.8984814,1713190465.0421865,0.14371,0f6c6657-b591-4523-935d-1abd09835f5e,2
preprocess-into-train-test-and-evalute-tensors,1713190480.2549999,1713190485.3158207,5.06082,0f6c6657-b591-4523-935d-1abd09835f5e,2
local-model-training,1713190510.2563424,1713190593.1069903,82.85065,0f6c6657-b591-4523-935d-1abd09835f5e,2
store-training-context,1713190743.3726213,1713190743.528209,0.15559,0f6c6657-b591-4523-935d-1abd09835f5e,3
preprocess-into-train-test-and-evalute-tensors,1713190750.2567112,1713190755.4836974,5.22699,0f6c6657-b591-4523-935d-1abd09835f5e,3
local-model-training,1713190810.2589655,1713190909.0760467,98.81708,0f6c6657-b591-4523-935d-1abd09835f5e,3
store-training-context,1713191066.420915,1713191066.765425,0.34451,0f6c6657-b591-4523-935d-1abd09835f5e,4
preprocess-into-train-test-and-evalute-tensors,1713191080.2568054,1713191086.1861067,5.9293,0f6c6657-b591-4523-935d-1abd09835f5e,4
local-model-training,1713191110.257633,1713191210.6238408,100.36621,0f6c6657-b591-4523-935d-1abd09835f5e,4
store-training-context,1713191427.2047346,1713191427.3703985,0.16566,0f6c6657-b591-4523-935d-1abd09835f5e,5
preprocess-into-train-test-and-evalute-tensors,1713191440.2557313,1713191445.7588067,5.50308,0f6c6657-b591-4523-935d-1abd09835f5e,5
local-model-training,1713191470.2641356,1713191567.8155234,97.55139,0f6c6657-b591-4523-935d-1abd09835f5e,5
store-training-context,1713190145.1223838,1713190145.9765382,0.85415,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
preprocess-into-train-test-and-evalute-tensors,1713190150.22844,1713190154.9772139,4.74877,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
local-model-training,1713190210.2285147,1713190298.4435403,88.21503,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
store-training-context,1713190456.4079216,1713190456.5096135,0.10169,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
