name,action-time-start,action-time-end,action-total-seconds,worker,cycle
server-monitoring,1713190135.7950382,1713190136.4732459,0.67821,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190140.2515361,1713190140.4577687,0.20623,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190140.252214,1713190140.8463845,0.59417,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190145.251507,1713190145.4923131,0.24081,0f6c6657-b591-4523-935d-1abd09835f5e,1
model-pipeline,1713190150.257684,1713190150.3180199,0.06034,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190150.2529397,1713190154.6161244,4.36318,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190150.2517507,1713190154.713369,4.46162,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190155.251648,1713190155.583409,0.33176,0f6c6657-b591-4523-935d-1abd09835f5e,1
data-pipeline,1713190150.2562292,1713190155.6990075,5.44278,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190160.2515388,1713190160.4912171,0.23968,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190160.2523212,1713190160.7345958,0.48227,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190165.2519274,1713190165.4793797,0.22745,0f6c6657-b591-4523-935d-1abd09835f5e,1
update-pipeline,1713190170.2566152,1713190170.2939086,0.03729,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190170.2517698,1713190170.463754,0.21198,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190170.252725,1713190170.8323636,0.57964,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190175.2519622,1713190175.4606946,0.20873,0f6c6657-b591-4523-935d-1abd09835f5e,1
data-pipeline,1713190180.2551506,1713190180.296312,0.04116,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190180.251593,1713190180.4602873,0.20869,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190180.2527714,1713190180.9087534,0.65598,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190185.25185,1713190185.444266,0.19242,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190190.2518034,1713190190.4523616,0.20056,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190190.2531838,1713190190.642105,0.38892,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190195.2519963,1713190195.4439478,0.19195,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190200.2516458,1713190200.4479773,0.19633,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190200.2523282,1713190200.878104,0.62578,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190205.2517228,1713190205.468972,0.21725,0f6c6657-b591-4523-935d-1abd09835f5e,1
data-pipeline,1713190210.2555707,1713190210.2991407,0.04357,0f6c6657-b591-4523-935d-1abd09835f5e,1
update-pipeline,1713190210.2568645,1713190210.3501291,0.09326,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190210.2516024,1713190210.6824567,0.43085,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190210.252369,1713190210.8891733,0.6368,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190215.50901,1713190215.7665148,0.2575,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190220.2674987,1713190220.6607392,0.39324,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190220.2816377,1713190221.4778538,1.19622,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190225.266984,1713190225.5658362,0.29885,0f6c6657-b591-4523-935d-1abd09835f5e,1
server-monitoring,1713190230.2669516,1713190230.6426039,0.37565,0f6c6657-b591-4523-935d-1abd09835f5e,1
status-pipeline,1713190230.272995,1713190231.524891,1.2519,0f6c6657-b591-4523-935d-1abd09835f5e,1
