name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,worker,cycle
logistic-regression-training,10,5,360000.0,1713190214.3506544,1713190286.6836634,72.33301,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-testing,0,313,63.89776357827476,1713190286.7742116,1713190288.6974921,1.92328,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-evaluation,0,782,63.9386189258312,1713190288.798484,1713190293.191319,4.39283,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-training,10,5,360000.0,1713190510.8280742,1713190584.7515848,73.92351,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-testing,0,313,63.89776357827476,1713190584.8666127,1713190586.4903102,1.6237,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-evaluation,0,782,63.9386189258312,1713190586.6672602,1713190590.4692934,3.80203,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-training,10,5,360000.0,1713190811.377285,1713190898.911681,87.5344,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-testing,0,313,63.89776357827476,1713190899.0182133,1713190901.7385905,2.72038,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-evaluation,0,782,63.9386189258312,1713190901.85157,1713190906.5148277,4.66326,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-training,10,5,360000.0,1713191110.901211,1713191201.5227828,90.62157,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-testing,0,313,63.89776357827476,1713191201.5822616,1713191203.335092,1.75283,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-evaluation,0,782,63.9386189258312,1713191203.463493,1713191207.9800212,4.51653,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-training,10,5,360000.0,1713191471.0371761,1713191559.024979,87.9878,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-testing,0,313,63.89776357827476,1713191559.1458304,1713191561.2657373,2.11991,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-evaluation,0,782,63.9386189258312,1713191561.3955784,1713191565.251595,3.85602,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-training,10,5,360000.0,1713190214.4383385,1713190288.5288079,74.09047,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-testing,0,313,63.89776357827476,1713190288.6475844,1713190290.059801,1.41222,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-evaluation,0,782,63.9386189258312,1713190290.2338,1713190295.1547034,4.9209,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-training,10,5,360000.0,1713190510.832757,1713190583.825145,72.99239,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-testing,0,313,63.89776357827476,1713190583.950318,1713190585.4668121,1.51649,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-evaluation,0,782,63.9386189258312,1713190585.6962495,1713190589.0866702,3.39042,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-training,10,5,360000.0,1713190811.3867683,1713190898.40378,87.01701,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-testing,0,313,63.89776357827476,1713190898.528213,1713190900.6620572,2.13384,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-evaluation,0,782,63.9386189258312,1713190900.9276073,1713190905.8902256,4.96262,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-training,10,5,360000.0,1713191110.833912,1713191199.5676014,88.73369,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-testing,0,313,63.89776357827476,1713191199.6731274,1713191202.304774,2.63165,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-evaluation,0,782,63.9386189258312,1713191202.4876344,1713191206.4674633,3.97983,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-training,10,5,360000.0,1713191470.9976003,1713191559.3914852,88.39388,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-testing,0,313,63.89776357827476,1713191559.5197725,1713191561.852264,2.33249,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-evaluation,0,782,63.9386189258312,1713191561.964408,1713191565.8233228,3.85891,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-training,10,5,360000.0,1713190214.4406352,1713190287.4510202,73.01039,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-testing,0,313,63.89776357827476,1713190287.5694664,1713190289.3230884,1.75362,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-evaluation,0,782,63.9386189258312,1713190289.504928,1713190294.0351741,4.53025,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-training,10,5,360000.0,1713190510.8760273,1713190584.1905801,73.31455,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-testing,0,313,63.89776357827476,1713190584.3044207,1713190585.8987796,1.59436,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-evaluation,0,782,63.9386189258312,1713190586.0176163,1713190589.3093455,3.29173,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-training,10,5,360000.0,1713190811.3462553,1713190898.946017,87.59976,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-testing,0,313,63.89776357827476,1713190899.0182426,1713190901.735118,2.71688,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-evaluation,0,782,63.9386189258312,1713190901.852442,1713190906.4584682,4.60603,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-training,10,5,360000.0,1713191110.9686174,1713191201.441771,90.47315,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-testing,0,313,63.89776357827476,1713191201.500223,1713191203.2180905,1.71787,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-evaluation,0,782,63.9386189258312,1713191203.3641088,1713191208.049168,4.68506,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-training,10,5,360000.0,1713191470.9945982,1713191561.8656857,90.87109,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
