name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,worker,cycle
server,2024-04-15-14:08:55.911701,1713190135.911753,59.9,454635520,2156032000,128843776,4096,1031925760,0,0,327450624,26890240,73728,55108424,17203,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:00.380138,1713190140.3802137,19.9,473772032,2382520320,130285568,4096,1076826112,0,0,346464256,26894336,73728,55113084,17413,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:05.368722,1713190145.3687835,0.0,380145664,2287714304,130285568,4096,982020096,0,0,251146240,26894336,73728,55114852,17489,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:10.385634,1713190150.3857791,78.2,380145664,2287714304,130285568,4096,982020096,0,0,251146240,26894336,73728,55116620,17703,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:15.383467,1713190155.3835382,0.0,542568448,2417737728,133824512,4096,1133404160,0,0,410144768,26894336,77824,55130536,17779,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:20.379435,1713190160.3795073,9.9,481103872,2355871744,133824512,4096,1081446400,0,0,348672000,26894336,77824,55132311,17985,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:25.379396,1713190165.3794737,0.0,481103872,2355871744,133824512,4096,1081446400,0,0,348672000,26894336,77824,55134086,18061,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:30.385688,1713190170.3858063,69.5,481103872,2355871744,133824512,4096,1081446400,0,0,348672000,26894336,81920,55135861,18199,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:35.374255,1713190175.374351,0.0,481103872,2355871744,133824512,4096,1081446400,0,0,348672000,26894336,81920,55137636,18275,0f6c6657-b591-4523-935d-1abd09835f5e,1
server,2024-04-15-14:09:40.385056,1713190180.3851426,79.6,481103872,2355871744,133824512,4096,1081450496,0,0,348676096,26894336,81920,55139411,18417,0f6c6657-b591-4523-935d-1abd09835f5e,1
