name,action-time-start,action-time-end,action-total-seconds,worker,cycle
store-training-context,1713194272.4099941,1713194274.1043386,1.69434,0f6c6657-b591-4523-935d-1abd09835f5e,1
preprocess-into-train-test-and-evalute-tensors,1713194284.4233327,1713194294.9621902,10.53886,0f6c6657-b591-4523-935d-1abd09835f5e,1
local-model-training,1713194344.4252555,1713194518.2784748,173.85322,0f6c6657-b591-4523-935d-1abd09835f5e,1
store-training-context,1713194678.597021,1713194678.7854216,0.1884,0f6c6657-b591-4523-935d-1abd09835f5e,2
preprocess-into-train-test-and-evalute-tensors,1713194704.4238162,1713194713.1096919,8.68588,0f6c6657-b591-4523-935d-1abd09835f5e,2
local-model-training,1713194764.4265234,1713194905.3730617,140.94654,0f6c6657-b591-4523-935d-1abd09835f5e,2
store-training-context,1713195060.77779,1713195060.9870086,0.20922,0f6c6657-b591-4523-935d-1abd09835f5e,3
preprocess-into-train-test-and-evalute-tensors,1713195064.4240386,1713195073.184946,8.76091,0f6c6657-b591-4523-935d-1abd09835f5e,3
local-model-training,1713195124.4253266,1713195285.605653,161.18033,0f6c6657-b591-4523-935d-1abd09835f5e,3
store-training-context,1713195513.9808815,1713195514.1602612,0.17938,0f6c6657-b591-4523-935d-1abd09835f5e,4
preprocess-into-train-test-and-evalute-tensors,1713195514.4252672,1713195526.0264752,11.60121,0f6c6657-b591-4523-935d-1abd09835f5e,4
local-model-training,1713195544.425215,1713195707.3186126,162.8934,0f6c6657-b591-4523-935d-1abd09835f5e,4
store-training-context,1713195900.9420545,1713195901.1590815,0.21703,0f6c6657-b591-4523-935d-1abd09835f5e,5
preprocess-into-train-test-and-evalute-tensors,1713195904.4249363,1713195912.8768299,8.45189,0f6c6657-b591-4523-935d-1abd09835f5e,5
local-model-training,1713195964.425254,1713196132.0721407,167.64689,0f6c6657-b591-4523-935d-1abd09835f5e,5
store-training-context,1713196246.870921,1713196246.9669375,0.09602,0f6c6657-b591-4523-935d-1abd09835f5e,6
store-training-context,1713194263.6771615,1713194265.1366572,1.4595,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
preprocess-into-train-test-and-evalute-tensors,1713194284.5295784,1713194294.3873174,9.85774,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
local-model-training,1713194344.52879,1713194520.6174104,176.08862,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
store-training-context,1713194669.259403,1713194669.4834893,0.22409,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
preprocess-into-train-test-and-evalute-tensors,1713194674.5287423,1713194683.960475,9.43173,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
local-model-training,1713194704.530087,1713194865.6558607,161.12577,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
store-training-context,1713195069.7975094,1713195070.131202,0.33369,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
preprocess-into-train-test-and-evalute-tensors,1713195094.5280771,1713195101.8935602,7.36548,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
local-model-training,1713195124.5319955,1713195287.2658186,162.73382,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
store-training-context,1713195505.049408,1713195505.227183,0.17778,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
preprocess-into-train-test-and-evalute-tensors,1713195514.5299911,1713195525.7264895,11.1965,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
local-model-training,1713195544.5299227,1713195706.9190707,162.38915,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
store-training-context,1713195909.685297,1713195910.0122998,0.327,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
preprocess-into-train-test-and-evalute-tensors,1713195934.528244,1713195941.730265,7.20202,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
local-model-training,1713195964.530817,1713196134.3360815,169.80526,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
store-training-context,1713196247.049277,1713196247.1419225,0.09265,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,6
store-training-context,1713194254.4407094,1713194255.9152355,1.47453,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
preprocess-into-train-test-and-evalute-tensors,1713194284.3474677,1713194294.4383352,10.09087,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
local-model-training,1713194344.3483334,1713194516.0523882,171.70405,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
store-training-context,1713194654.9821045,1713194655.1149256,0.13282,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
preprocess-into-train-test-and-evalute-tensors,1713194674.347125,1713194683.9529893,9.60586,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
local-model-training,1713194704.3482778,1713194861.740203,157.39193,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
store-training-context,1713195053.4588735,1713195053.5982766,0.1394,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
preprocess-into-train-test-and-evalute-tensors,1713195064.347223,1713195072.444186,8.09696,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
local-model-training,1713195124.3485413,1713195283.386991,159.03845,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
store-training-context,1713195497.1184778,1713195497.6752975,0.55682,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
preprocess-into-train-test-and-evalute-tensors,1713195514.3489175,1713195525.7551963,11.40628,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
local-model-training,1713195544.347918,1713195703.5951293,159.24721,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
store-training-context,1713195893.7990572,1713195893.9532175,0.15416,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
preprocess-into-train-test-and-evalute-tensors,1713195904.3463583,1713195912.8527691,8.50641,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
local-model-training,1713195964.3481734,1713196128.0155556,163.66738,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
store-training-context,1713196246.662416,1713196246.7683563,0.10594,af5b7dae-cb38-4c82-994d-4e8b8c198a27,6
store-training-context,1713194281.9014852,1713194283.1788926,1.27741,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
preprocess-into-train-test-and-evalute-tensors,1713194284.382814,1713194294.6213882,10.23857,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
local-model-training,1713194344.3834288,1713194517.0473752,172.66395,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
store-training-context,1713194662.3140056,1713194662.4774039,0.1634,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
preprocess-into-train-test-and-evalute-tensors,1713194674.382271,1713194683.129268,8.747,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
local-model-training,1713194704.384349,1713194860.5621188,156.17777,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
store-training-context,1713195079.0928361,1713195079.2883086,0.19547,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
preprocess-into-train-test-and-evalute-tensors,1713195094.382247,1713195101.5984647,7.21622,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
local-model-training,1713195124.3842905,1713195283.7326858,159.3484,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
store-training-context,1713195527.0751233,1713195527.3367991,0.26168,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
preprocess-into-train-test-and-evalute-tensors,1713195544.3836899,1713195553.1574209,8.77373,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
local-model-training,1713195604.3861382,1713195744.5637107,140.17757,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
store-training-context,1713195918.3211272,1713195918.4961848,0.17506,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
preprocess-into-train-test-and-evalute-tensors,1713195934.382452,1713195941.143664,6.76121,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
local-model-training,1713195964.3833654,1713196129.7405112,165.35715,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
store-training-context,1713196247.2318168,1713196247.4095168,0.1777,d23a4790-2964-4b15-99ec-eee56d5c60bd,6
