name,true-positives,false-positives,true-negatives,false-negatives,recall,selectivity,precision,miss-rate,fall-out,balanced-accuracy,accuracy,train-amount,test-amount,eval-amount,worker,cycle
logistic-regression-testing,1828,592,31412,6168,0.22861,0.9815,0.75537,0.77139,0.0185,0.60506,0.831,360000,40000,0,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-evaluation,4553,1486,78571,15390,0.2283,0.98144,0.75393,0.7717,0.01856,0.60487,0.83124,360000,0,100000,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-testing,2063,828,31176,5933,0.258,0.97413,0.71359,0.742,0.02587,0.61607,0.83098,360000,40000,0,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-evaluation,5098,2082,77975,14845,0.25563,0.97399,0.71003,0.74437,0.02601,0.61481,0.83073,360000,0,100000,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-testing,2124,982,31022,5872,0.26563,0.96932,0.68384,0.73437,0.03068,0.61747,0.82865,360000,40000,0,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-evaluation,5239,2519,77538,14704,0.2627,0.96853,0.6753,0.7373,0.03147,0.61562,0.82777,360000,0,100000,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-testing,2146,1096,30908,5850,0.26838,0.96575,0.66194,0.73162,0.03425,0.61707,0.82635,360000,40000,0,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-evaluation,5315,2840,77217,14628,0.26651,0.96453,0.65175,0.73349,0.03547,0.61552,0.82532,360000,0,100000,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-testing,2184,1202,30802,5812,0.27314,0.96244,0.64501,0.72686,0.03756,0.61779,0.82465,360000,40000,0,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-evaluation,5401,3093,76964,14542,0.27082,0.96137,0.63586,0.72918,0.03863,0.61609,0.82365,360000,0,100000,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-testing,1782,582,31386,6250,0.22186,0.98179,0.75381,0.77814,0.01821,0.60183,0.8292,360000,40000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-evaluation,4544,1463,78493,15500,0.2267,0.9817,0.75645,0.7733,0.0183,0.6042,0.83037,360000,0,100000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-testing,2048,833,31135,5984,0.25498,0.97394,0.71086,0.74502,0.02606,0.61446,0.82957,360000,40000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-evaluation,5157,2043,77913,14887,0.25728,0.97445,0.71625,0.74272,0.02555,0.61587,0.8307,360000,0,100000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-testing,2111,993,30975,5921,0.26282,0.96894,0.68009,0.73718,0.03106,0.61588,0.82715,360000,40000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-evaluation,5304,2459,77497,14740,0.26462,0.96925,0.68324,0.73538,0.03075,0.61693,0.82801,360000,0,100000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-testing,2137,1111,30857,5895,0.26606,0.96525,0.65794,0.73394,0.03475,0.61565,0.82485,360000,40000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-evaluation,5368,2757,77199,14676,0.26781,0.96552,0.66068,0.73219,0.03448,0.61666,0.82567,360000,0,100000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-testing,2165,1210,30758,5867,0.26955,0.96215,0.64148,0.73045,0.03785,0.61585,0.82308,360000,40000,0,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-evaluation,5452,3038,76918,14592,0.272,0.962,0.64217,0.728,0.038,0.617,0.8237,360000,0,100000,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-testing,1766,598,31326,6310,0.21867,0.98127,0.74704,0.78133,0.01873,0.59997,0.8273,360000,40000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-evaluation,4464,1487,78461,15588,0.22262,0.9814,0.75013,0.77738,0.0186,0.60201,0.82925,360000,0,100000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-testing,2008,831,31093,6068,0.24864,0.97397,0.70729,0.75136,0.02603,0.6113,0.82752,360000,40000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-evaluation,5108,2072,77876,14944,0.25474,0.97408,0.71142,0.74526,0.02592,0.61441,0.82984,360000,0,100000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-testing,2070,1008,30916,6006,0.25632,0.96843,0.67251,0.74368,0.03157,0.61237,0.82465,360000,40000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-evaluation,5260,2514,77434,14792,0.26232,0.96855,0.67661,0.73768,0.03145,0.61544,0.82694,360000,0,100000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-testing,2103,1118,30806,5973,0.2604,0.96498,0.6529,0.7396,0.03502,0.61269,0.82273,360000,40000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-evaluation,5350,2812,77136,14702,0.26681,0.96483,0.65548,0.73319,0.03517,0.61582,0.82486,360000,0,100000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-testing,2133,1230,30694,5943,0.26412,0.96147,0.63426,0.73588,0.03853,0.61279,0.82068,360000,40000,0,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-evaluation,5410,3084,76864,14642,0.2698,0.96142,0.63692,0.7302,0.03858,0.61561,0.82274,360000,0,100000,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-testing,1766,558,31515,6161,0.22278,0.9826,0.7599,0.77722,0.0174,0.60269,0.83203,360000,40000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-evaluation,4463,1532,78444,15561,0.22288,0.98084,0.74445,0.77712,0.01916,0.60186,0.82907,360000,0,100000,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-testing,2038,802,31271,5889,0.2571,0.97499,0.71761,0.7429,0.02501,0.61605,0.83273,360000,40000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-evaluation,5178,2122,77854,14846,0.25859,0.97347,0.70932,0.74141,0.02653,0.61603,0.83032,360000,0,100000,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-testing,2091,973,31100,5836,0.26378,0.96966,0.68244,0.73622,0.03034,0.61672,0.82978,360000,40000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-evaluation,5337,2514,77462,14687,0.26653,0.96857,0.67979,0.73347,0.03143,0.61755,0.82799,360000,0,100000,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-testing,2122,1104,30969,5805,0.26769,0.96558,0.65778,0.73231,0.03442,0.61664,0.82727,360000,40000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-evaluation,5410,2851,77125,14614,0.27018,0.96435,0.65488,0.72982,0.03565,0.61726,0.82535,360000,0,100000,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-testing,2157,1207,30866,5770,0.27211,0.96237,0.6412,0.72789,0.03763,0.61724,0.82557,360000,40000,0,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
logistic-regression-evaluation,5480,3126,76850,14544,0.27367,0.96091,0.63677,0.72633,0.03909,0.61729,0.8233,360000,0,100000,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
