name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,worker,cycle
logistic-regression-training,10,5,720000.0,1713194348.7877944,1713194503.556202,154.76841,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-testing,0,625,64.0,1713194503.6682432,1713194507.3048296,3.63659,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194507.4868007,1713194515.493057,8.00626,0f6c6657-b591-4523-935d-1abd09835f5e,1
logistic-regression-training,10,5,720000.0,1713194765.5299106,1713194895.2752476,129.74534,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-testing,0,625,64.0,1713194895.3720105,1713194898.3323326,2.96032,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713194898.4685564,1713194903.2956426,4.82709,0f6c6657-b591-4523-935d-1abd09835f5e,2
logistic-regression-training,10,5,720000.0,1713195125.4941752,1713195272.6160982,147.12192,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-testing,0,625,64.0,1713195272.7357333,1713195275.9174712,3.18174,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713195276.0853925,1713195283.4096453,7.32425,0f6c6657-b591-4523-935d-1abd09835f5e,3
logistic-regression-training,10,5,720000.0,1713195545.007202,1713195693.0876272,148.08043,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-testing,0,625,64.0,1713195693.1266873,1713195696.5961359,3.46945,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713195696.7308016,1713195704.558461,7.82766,0f6c6657-b591-4523-935d-1abd09835f5e,4
logistic-regression-training,10,5,720000.0,1713195965.2907476,1713196117.3719292,152.08118,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-testing,0,625,64.0,1713196117.495755,1713196120.9224749,3.42672,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-evaluation,0,1563,63.97952655150352,1713196121.0272098,1713196129.6243315,8.59712,0f6c6657-b591-4523-935d-1abd09835f5e,5
logistic-regression-training,10,5,720000.0,1713194348.7949061,1713194507.0528545,158.25795,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-testing,0,625,64.0,1713194507.1692376,1713194510.1642025,2.99496,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194510.3294,1713194518.4224622,8.09306,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1
logistic-regression-training,10,5,720000.0,1713194705.222246,1713194852.0401044,146.81786,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-testing,0,625,64.0,1713194852.1520762,1713194855.4311714,3.2791,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713194855.6266165,1713194863.4683073,7.84169,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,2
logistic-regression-training,10,5,720000.0,1713195125.5030177,1713195274.5211403,149.01812,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-testing,0,625,64.0,1713195274.612357,1713195277.738888,3.12653,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713195277.8416235,1713195285.6118152,7.77019,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,3
logistic-regression-training,10,5,720000.0,1713195545.1349823,1713195693.1584468,148.02346,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-testing,0,625,64.0,1713195693.2041166,1713195696.5463016,3.34219,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713195696.6768196,1713195704.307936,7.63112,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,4
logistic-regression-training,10,5,720000.0,1713195965.4591546,1713196120.7957976,155.33664,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-testing,0,625,64.0,1713196120.9024825,1713196123.9438922,3.04141,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-evaluation,0,1563,63.97952655150352,1713196124.119054,1713196132.6774154,8.55836,a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,5
logistic-regression-training,10,5,720000.0,1713194348.7871108,1713194500.9760983,152.18899,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-testing,0,625,64.0,1713194501.1039987,1713194504.2122936,3.10829,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194504.3730352,1713194512.3287368,7.9557,af5b7dae-cb38-4c82-994d-4e8b8c198a27,1
logistic-regression-training,10,5,720000.0,1713194704.9417703,1713194847.6121151,142.67034,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-testing,0,625,64.0,1713194847.725695,1713194850.868199,3.1425,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713194851.0393403,1713194859.1199327,8.08059,af5b7dae-cb38-4c82-994d-4e8b8c198a27,2
logistic-regression-training,10,5,720000.0,1713195125.503307,1713195270.2685363,144.76523,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-testing,0,625,64.0,1713195270.312748,1713195273.2300532,2.91731,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713195273.3876345,1713195280.7681644,7.38053,af5b7dae-cb38-4c82-994d-4e8b8c198a27,3
logistic-regression-training,10,5,720000.0,1713195545.017983,1713195689.4109993,144.39302,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-testing,0,625,64.0,1713195689.5710428,1713195692.988315,3.41727,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713195693.1654212,1713195701.1066093,7.94119,af5b7dae-cb38-4c82-994d-4e8b8c198a27,4
logistic-regression-training,10,5,720000.0,1713195964.984653,1713196112.371643,147.38699,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-testing,0,625,64.0,1713196112.5057566,1713196116.6633456,4.15759,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-evaluation,0,1563,63.97952655150352,1713196116.820178,1713196125.375757,8.55558,af5b7dae-cb38-4c82-994d-4e8b8c198a27,5
logistic-regression-training,10,5,720000.0,1713194348.7881544,1713194502.133297,153.34514,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-testing,0,625,64.0,1713194502.2523053,1713194505.6691563,3.41685,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194505.7813566,1713194513.4206772,7.63932,d23a4790-2964-4b15-99ec-eee56d5c60bd,1
logistic-regression-training,10,5,720000.0,1713194705.183224,1713194846.1811643,140.99794,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-testing,0,625,64.0,1713194846.2378447,1713194849.3065093,3.06866,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713194849.4930477,1713194857.7134898,8.22044,d23a4790-2964-4b15-99ec-eee56d5c60bd,2
logistic-regression-training,10,5,720000.0,1713195125.5535505,1713195270.5667593,145.01321,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-testing,0,625,64.0,1713195270.6161692,1713195273.562359,2.94619,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713195273.7430575,1713195281.2086473,7.46559,d23a4790-2964-4b15-99ec-eee56d5c60bd,3
logistic-regression-training,10,5,720000.0,1713195605.1769607,1713195736.7675443,131.59058,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-testing,0,625,64.0,1713195736.805664,1713195738.3482172,1.54255,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713195738.4696548,1713195742.832478,4.36282,d23a4790-2964-4b15-99ec-eee56d5c60bd,4
logistic-regression-training,10,5,720000.0,1713195965.0893562,1713196113.2648463,148.17549,d23a4790-2964-4b15-99ec-eee56d5c60bd,5
