Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,cycle,epochs,eval-amount,eval-batch-size,experiment,input-size,learning-rate,optimizer,sample-rate,scaled-columns,seed,target-column,test-amount,test-batch-size,train-amount,train-batch-size,updates,used-columns,eval-accuracy,eval-balanced-accuracy,eval-fall-out,eval-false-negatives,eval-false-positives,eval-miss-rate,eval-precision,eval-recall,eval-selectivity,eval-true-negatives,eval-true-positives,test-accuracy,test-balanced-accuracy,test-fall-out,test-false-negatives,test-false-positives,test-miss-rate,test-precision,test-recall,test-selectivity,test-true-negatives,test-true-positives
2024-04-15 19:43:27,1.1min,02c088ee3dec4cb09e18c54f4d6bf741,local-training-4-5,,,unknown,FINISHED,5,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.80608,0.58229,0.04537,7880,1816,0.79005,0.53555,0.20995,0.95463,38210,2094,0.8083,0.58002,0.04316,3141,693,0.7968,0.53614,0.2032,0.95684,15365,801
2024-04-15 19:43:27,1.1min,ad961e1faf63457c92899863789629c1,local-training-4-5,,,unknown,FINISHED,5,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.80514,0.58312,0.04212,8066,1677,0.79164,0.55868,0.20836,0.95788,38134,2123,0.80715,0.58005,0.04383,3154,703,0.79606,0.53475,0.20394,0.95617,15335,808
2024-04-15 19:42:47,2.6min,278af3947e2f4beda1014e576f67f9e8,federated-training-4-5,,,unknown,FINISHED,5,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81032,0.59026,0.0386,7947,1537,0.78088,0.59198,0.21912,0.9614,38286,2230,,,,,,,,,,,
2024-04-15 19:39:27,1.3min,3400a15c02154213961dda01a2ecbf04,local-training-4-4,,,unknown,FINISHED,4,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81036,0.58496,0.04002,7880,1602,0.79005,0.56656,0.20995,0.95998,38424,2094,0.81325,0.5831,0.03699,3141,594,0.7968,0.57419,0.2032,0.96301,15464,801
2024-04-15 19:39:27,1.3min,ad385fed95c54d9c9f5b18be52c914c8,local-training-4-4,,,unknown,FINISHED,4,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.80912,0.58518,0.03682,8078,1466,0.79282,0.59016,0.20718,0.96318,38345,2111,0.81195,0.58276,0.03766,3157,604,0.79682,0.57133,0.20318,0.96234,15434,805
2024-04-15 19:38:08,3.9min,b2730b5e02bc426da2dad0185dceb9e7,federated-training-4-4,,,unknown,FINISHED,4,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.8175,0.59828,0.03199,7851,1274,0.77145,0.64611,0.22855,0.96801,38549,2326,,,,,,,,,,,
2024-04-15 19:35:27,1.2min,9c28e293eba34a08a7c527601d0fd846,local-training-4-3,,,unknown,FINISHED,3,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81526,0.58791,0.03383,7883,1354,0.79035,0.60697,0.20965,0.96617,38672,2091,0.8175,0.58508,0.03126,3148,502,0.79858,0.61265,0.20142,0.96874,15556,794
2024-04-15 19:35:27,1.2min,809cf64c4f7443f0913fcf5c3b94db7e,local-training-4-3,,,unknown,FINISHED,3,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81352,0.58794,0.0313,8078,1246,0.79282,0.62884,0.20718,0.9687,38565,2111,0.81705,0.58594,0.0313,3157,502,0.79682,0.61591,0.20318,0.9687,15536,805
2024-04-15 19:34:07,2.9min,afd7c12a11a3475ea8128f279d9e45d5,federated-training-4-3,,,unknown,FINISHED,3,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,0,0,360000,0,2,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.8197,0.59487,0.02594,7982,1033,0.78432,0.67999,0.21568,0.97406,38790,2195,,,,,,,,,,,
2024-04-15 19:31:27,1.1min,315479d55b644d2590ef1cd4f099c008,local-training-4-2,,,unknown,FINISHED,2,10,50000,64,4,6,0.2,SGD,0.2,['amount'],42,isFraud,20000,64,180000,36000,0,"['amount', 'type_CASH_IN', 'type_CASH_OUT', 'type_DEBIT', 'type_PAYMENT', 'type_TRANSFER', 'isFraud']",0.81994,0.59083,0.02798,7883,1120,0.79035,0.6512,0.20965,0.97202,38906,2091,0.822,0.58788,0.02566,3148,412,0.79858,0.65837,0.20142,0.97434,15646,794
