name,action-time-start,action-time-end,action-total-seconds,cycle
check-workers,1713189985.5988402,1713189985.6356106,0.03677,1
server-monitoring,1713189985.6014452,1713189985.995201,0.39376,1
check-workers,1713189990.6013863,1713189990.7129517,0.11157,1
server-monitoring,1713189990.601551,1713189991.150765,0.54921,1
system-monitoring,1713189990.6020734,1713189991.184019,0.58195,1
check-workers,1713189995.5991166,1713189995.636388,0.03727,1
server-monitoring,1713189995.601537,1713189995.7658765,0.16434,1
check-workers,1713190000.598735,1713190000.728789,0.13005,1
server-monitoring,1713190000.6027274,1713190005.582531,4.9798,1
check-workers,1713190005.8114357,1713190007.4334247,1.62199,1
system-monitoring,1713190000.6037993,1713190006.6563745,6.05258,1
aggregation-pipeline,1713190000.6090486,1713190006.5301206,5.92107,1
check-workers,1713190010.778008,1713190012.4818752,1.70387,1
server-monitoring,1713190010.778373,1713190012.8932061,2.11483,1
update-pipeline,1713190010.7876537,1713190013.2892632,2.50161,1
data-pipeline,1713190000.6045012,1713190013.569341,12.96484,1
system-monitoring,1713190010.7823727,1713190013.702354,2.91998,1
check-workers,1713190015.5992057,1713190015.7031264,0.10392,1
server-monitoring,1713190015.6018379,1713190015.8154125,0.21357,1
server-monitoring,1713190020.6023936,1713190020.919471,0.31708,1
check-workers,1713190020.6003032,1713190020.8301654,0.22986,1
system-monitoring,1713190020.6029222,1713190020.968747,0.36582,1
check-workers,1713190025.5988815,1713190025.6372612,0.03838,1
server-monitoring,1713190025.6014478,1713190025.7677252,0.16628,1
data-pipeline,1713190030.6021657,1713190030.954707,0.35254,1
check-workers,1713190030.6010845,1713190030.9379227,0.33684,1
system-monitoring,1713190030.6016765,1713190031.072834,0.47116,1
server-monitoring,1713190030.6012387,1713190031.2062232,0.60498,1
check-workers,1713190035.8748581,1713190036.0104816,0.13562,1
server-monitoring,1713190035.881954,1713190036.3164523,0.4345,1
system-monitoring,1713190040.6041398,1713190041.7354543,1.13131,1
server-monitoring,1713190040.6037621,1713190041.3420238,0.73826,1
check-workers,1713190040.5990055,1713190041.9609187,1.36191,1
check-workers,1713190045.5987113,1713190045.7099319,0.11122,1
server-monitoring,1713190045.601342,1713190046.1427276,0.54139,1
system-monitoring,1713190050.8820665,1713190054.5021062,3.62004,1
check-workers,1713190050.8233345,1713190051.5521321,0.7288,1
server-monitoring,1713190050.8605103,1713190051.5172167,0.65671,1
aggregation-pipeline,1713190050.9111571,1713190055.136827,4.22567,1
check-workers,1713190061.0808415,1713190061.2135742,0.13273,1
system-monitoring,1713190061.0846086,1713190062.3913858,1.30678,1
server-monitoring,1713190061.0813324,1713190063.721369,2.64004,1
data-pipeline,1713190061.086325,1713190062.2883751,1.20205,1
check-workers,1713190065.5989017,1713190065.86452,0.26562,1
server-monitoring,1713190065.599859,1713190066.4594984,0.85964,1
update-pipeline,1713190050.8985953,1713190066.5157225,15.61713,1
check-workers,1713190070.8646195,1713190071.1056423,0.24102,1
system-monitoring,1713190070.909148,1713190071.3486896,0.43954,1
server-monitoring,1713190070.8805978,1713190071.62483,0.74423,1
check-workers,1713190075.6138864,1713190075.822933,0.20905,1
