name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,cycle
logistic-regression-training,10,5,360000.0,1713190035.4158273,1713190097.931575,62.51575,1
logistic-regression-testing,0,782,63.9386189258312,1713190098.030653,1713190100.081236,2.05058,1
logistic-regression-evaluation,0,782,63.9386189258312,1713190100.2154312,1713190103.477142,3.26171,1
logistic-regression-evaluation,0,782,63.9386189258312,1713190351.7099113,1713190354.2467587,2.53685,1
logistic-regression-evaluation,0,782,63.9386189258312,1713190651.7202585,1713190654.1262927,2.40603,2
logistic-regression-evaluation,0,782,63.9386189258312,1713190951.6762733,1713190954.0121026,2.33583,3
logistic-regression-evaluation,0,782,63.9386189258312,1713191301.7990165,1713191304.8917422,3.09273,4
logistic-regression-evaluation,0,782,63.9386189258312,1713191601.7136633,1713191604.102259,2.3886,5
