name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713189981.7175925,1713189981.7816625,0.06407,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713189981.7284315,1713189981.8375819,0.10915,1
start-pipeline,1713189981.7152758,1713189983.129577,1.4143,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713189981.7270155,1713189981.9796882,0.25267,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713189981.7231417,1713189982.0193155,0.29617,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713189990.2792866,1713189990.3993924,0.12011,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713189990.2487156,1713189990.4671245,0.21841,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713189990.281604,1713189990.6080651,0.32646,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713189990.28687,1713189990.7459757,0.45911,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713190000.2851362,1713190000.4189768,0.13384,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713190000.2961216,1713190000.6675248,0.3714,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713190000.2878718,1713190000.8808527,0.59298,1
central-worker-data-split,1713190000.6045094,1713190009.4698246,8.86532,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713190010.7740607,1713190012.5798035,1.80574,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713190010.784533,1713190012.8517537,2.06722,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713190010.7899828,1713190012.805023,2.01504,1
preprocess-into-train-test-and-evalute-tensors,1713190009.557194,1713190013.2639341,3.70674,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713190010.7777627,1713190013.5972657,2.8195,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713190020.2433162,1713190020.3628948,0.11958,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713190020.2740688,1713190020.548251,0.27418,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713190020.2806568,1713190020.521238,0.24058,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713190020.279095,1713190020.6192274,0.34013,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713190030.288189,1713190030.496806,0.20862,1
