name,action-time-start,action-time-end,action-total-seconds,cycle
check-workers,1713200996.8364763,1713200996.840699,0.00422,1
server-monitoring,1713200996.8388531,1713200997.241572,0.40272,1
check-workers,1713201001.8365629,1713201001.9341583,0.0976,1
system-monitoring,1713201001.8378994,1713201002.2520869,0.41419,1
server-monitoring,1713201001.8376226,1713201002.223825,0.3862,1
aggregation-pipeline,1713201001.8390033,1713201002.093622,0.25462,1
check-workers,1713201006.836494,1713201006.8866258,0.05013,1
server-monitoring,1713201006.83936,1713201007.0379586,0.1986,1
check-workers,1713201011.8365169,1713201011.9228895,0.08637,1
server-monitoring,1713201011.8373125,1713201012.2259195,0.38861,1
system-monitoring,1713201011.8375757,1713201012.1701996,0.33262,1
check-workers,1713201016.8367636,1713201016.9427202,0.10596,1
server-monitoring,1713201016.8390684,1713201017.0493493,0.21028,1
check-workers,1713201021.8365312,1713201021.9028924,0.06636,1
system-monitoring,1713201021.8378007,1713201032.5112307,10.67343,1
check-workers,1713201032.4358861,1713201032.5625174,0.12663,1
update-pipeline,1713201032.4399014,1713201033.789867,1.34997,1
server-monitoring,1713201032.4362502,1713201035.1855037,2.74925,1
data-pipeline,1713201021.8382912,1713201041.8012965,19.96301,1
check-workers,1713201041.836305,1713201041.924676,0.08837,1
system-monitoring,1713201041.8389788,1713201042.329973,0.49099,1
server-monitoring,1713201041.8388426,1713201042.4199886,0.58115,1
check-workers,1713201046.8367467,1713201046.938524,0.10178,1
server-monitoring,1713201046.838999,1713201047.1795368,0.34054,1
aggregation-pipeline,1713201051.8414876,1713201052.041188,0.1997,1
check-workers,1713201051.8364532,1713201051.8926623,0.05621,1
server-monitoring,1713201051.8406677,1713201052.4669483,0.62628,1
data-pipeline,1713201051.8410563,1713201052.191756,0.3507,1
check-workers,1713201056.8517118,1713201056.9453588,0.09365,1
server-monitoring,1713201056.8590817,1713201057.501965,0.64288,1
check-workers,1713201062.1377985,1713201062.3854806,0.24768,1
system-monitoring,1713201062.1764114,1713201062.477902,0.30149,1
server-monitoring,1713201062.1398044,1713201062.5388114,0.39901,1
check-workers,1713201066.8949044,1713201067.0351949,0.14029,1
server-monitoring,1713201066.8970163,1713201067.414873,0.51786,1
check-workers,1713201072.0932493,1713201072.1522448,0.059,1
system-monitoring,1713201072.108692,1713201076.7684424,4.65975,1
server-monitoring,1713201072.0948775,1713201076.650415,4.55554,1
check-workers,1713201076.8367662,1713201078.375297,1.53853,1
check-workers,1713201082.3109903,1713201083.4549167,1.14393,1
system-monitoring,1713201082.323522,1713201084.1887326,1.86521,1
data-pipeline,1713201082.3242142,1713201084.2343748,1.91016,1
server-monitoring,1713201082.3118482,1713201084.2866287,1.97478,1
update-pipeline,1713201072.1122725,1713201084.2206113,12.10834,1
check-workers,1713201086.8515537,1713201086.984471,0.13292,1
server-monitoring,1713201086.8580549,1713201088.0309906,1.17294,1
check-workers,1713201091.8371062,1713201091.9211829,0.08408,1
system-monitoring,1713201091.8384435,1713201092.2249746,0.38653,1
server-monitoring,1713201091.837451,1713201092.2696998,0.43225,1
check-workers,1713201096.8517451,1713201097.340518,0.48877,1
server-monitoring,1713201096.8582914,1713201097.4525745,0.59428,1
check-workers,1713201101.8533885,1713201102.4420433,0.58865,1
system-monitoring,1713201101.884014,1713201102.6282132,0.7442,1
aggregation-pipeline,1713201101.8843424,1713201102.7918375,0.9075,1
server-monitoring,1713201101.8635914,1713201102.8319938,0.9684,1
check-workers,1713201106.8515015,1713201106.98955,0.13805,1
server-monitoring,1713201106.865621,1713201107.589467,0.72385,1
check-workers,1713201111.8496423,1713201112.220347,0.3707,1
data-pipeline,1713201111.854553,1713201112.25344,0.39889,1
server-monitoring,1713201111.8533812,1713201113.6842132,1.83083,1
system-monitoring,1713201111.8542945,1713201113.9373312,2.08304,1
check-workers,1713201116.836528,1713201116.9477015,0.11117,1
server-monitoring,1713201116.8388817,1713201117.0762584,0.23738,1
check-workers,1713201121.8557553,1713201122.4340794,0.57832,1
system-monitoring,1713201121.876495,1713201122.6962545,0.81976,1
server-monitoring,1713201121.8683014,1713201122.7406607,0.87236,1
check-workers,1713201127.1000361,1713201127.2152028,0.11517,1
server-monitoring,1713201127.1017811,1713201127.8588178,0.75704,1
system-monitoring,1713201132.100765,1713201133.5001862,1.39942,1
server-monitoring,1713201132.0951726,1713201133.6018002,1.50663,1
check-workers,1713201132.0947764,1713201133.5415154,1.44674,1
check-workers,1713201136.8365457,1713201136.949475,0.11293,1
server-monitoring,1713201136.8398917,1713201137.085428,0.24554,1
server-monitoring,1713201142.1470757,1713201142.5748804,0.4278,1
check-workers,1713201142.1139638,1713201142.6612613,0.5473,1
system-monitoring,1713201142.1474192,1713201142.7191207,0.5717,1
data-pipeline,1713201142.1650617,1713201142.5383644,0.3733,1
check-workers,1713201147.0065024,1713201147.15843,0.15193,1
server-monitoring,1713201147.0141726,1713201147.6255517,0.61138,1
check-workers,1713201151.8365486,1713201152.111083,0.27453,1
update-pipeline,1713201151.8387916,1713201152.0355613,0.19677,1
system-monitoring,1713201151.8376365,1713201152.1668963,0.32926,1
