name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713200994.1874301,1713200994.337306,0.14988,1
start-pipeline,1713200994.1795378,1713200996.6713939,2.49186,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201001.7735274,1713201001.8831158,0.10959,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201001.8751893,1713201002.0613117,0.18612,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201011.7771327,1713201011.8695564,0.09242,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201011.8804317,1713201012.05288,0.17245,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201021.7739532,1713201021.856562,0.08261,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201021.881573,1713201022.0607746,0.1792,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201032.4397051,1713201033.919926,1.48022,1
central-worker-data-split,1713201021.838304,1713201036.2328427,14.39454,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201032.4378924,1713201036.3170578,3.87917,1
preprocess-into-train-test-and-evalute-tensors,1713201036.6400046,1713201041.7523713,5.11237,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201041.769891,1713201041.8471982,0.07731,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201041.8715687,1713201042.3736126,0.50204,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201051.781863,1713201051.8374517,0.05559,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201051.8783448,1713201052.1578805,0.27954,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201062.182324,1713201062.304978,0.12265,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201062.1428769,1713201062.3495593,0.20668,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201072.1116319,1713201072.247998,0.13637,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201072.1153088,1713201072.4670682,0.35176,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201082.3132257,1713201082.7686622,0.45544,1
split-data-between-workers,1713201072.1122773,1713201082.632593,10.52032,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201082.3151667,1713201084.3745008,2.05933,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201091.773538,1713201091.8780735,0.10454,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201091.8724496,1713201092.081818,0.20937,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201101.7811136,1713201101.9698946,0.18878,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201101.922578,1713201102.5184448,0.59587,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201111.9035485,1713201112.4585886,0.55504,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201111.78534,1713201111.9760497,0.19071,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201122.2674046,1713201122.4885612,0.22116,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201121.7822452,1713201122.3394961,0.55725,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201131.786245,1713201132.185495,0.39925,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201132.092149,1713201132.4410436,0.34889,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201142.089183,1713201142.2830477,0.19386,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201142.1046739,1713201142.4849973,0.38032,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201151.7835524,1713201151.9035683,0.12002,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201151.8761702,1713201152.0205736,0.1444,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201161.7690604,1713201161.836918,0.06786,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201161.8828967,1713201162.0795026,0.19661,1
initial-model-training,1713201051.8412108,1713201169.2262661,117.38506,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201171.778951,1713201171.8715138,0.09256,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201171.8810773,1713201172.406122,0.52504,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201181.7705405,1713201182.0046191,0.23408,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201181.8726935,1713201182.21721,0.34452,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201191.7787235,1713201191.894502,0.11578,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201191.8755643,1713201192.1157744,0.24021,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201203.1307986,1713201205.4202998,2.2895,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201205.2971516,1713201205.4822123,0.18506,1
send-context-to-workers,1713201192.0506709,1713201210.4825337,18.43186,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201211.7732646,1713201211.8842475,0.11098,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201211.8710563,1713201212.0039537,0.1329,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201221.7737844,1713201221.885081,0.1113,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201221.8695676,1713201222.020323,0.15076,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201231.8763802,1713201232.1544065,0.27803,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201231.7786908,1713201231.9001968,0.12151,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201241.8861163,1713201242.0680957,0.18198,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201242.0511785,1713201242.4268215,0.37564,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201251.8235884,1713201251.9286103,0.10502,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201251.868033,1713201252.0935729,0.22554,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201261.8312736,1713201261.9419534,0.11068,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201261.8744469,1713201262.1304421,0.256,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201271.8221538,1713201271.9755864,0.15343,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201281.8756394,1713201282.0089984,0.13336,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201281.8232648,1713201281.9320974,0.10883,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201291.8757226,1713201292.1862006,0.31048,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201292.138589,1713201292.6249309,0.48634,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201301.8448246,1713201302.0487497,0.20393,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201302.2403302,1713201302.470898,0.23057,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201311.8328345,1713201312.0393684,0.20653,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201312.2586088,1713201312.4513218,0.19271,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201321.771212,1713201321.8900082,0.1188,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201322.2813814,1713201322.3818424,0.10046,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201331.778454,1713201331.8996735,0.12122,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201332.3131275,1713201332.6388903,0.32576,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201341.7804265,1713201341.9084382,0.12801,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713201341.958535,1713201342.1324055,0.17387,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713201351.770111,1713201351.8438787,0.07377,1
update-from-worker-<built-in function id>,1713201351.8543591,1713201352.4233432,0.56898,1
