name,date,time,cpu-percent,ram-percent,ram-total-bytes,ram-free-bytes,ram-used-bytes,disk-total-bytes,disk-free-bytes,disk-used-bytes,network-sent-bytes,network-received-bytes,network-packets-sent,network-packets-received,network-packets-sending-errors,network-packets-reciving-errors,network-packets-outgoing-dropped,network-packets-incoming-dropped,cycle
system,2024-04-15-17:10:01.839330,1713201001.839394,32.9,63.8,16650469376,2352570368,8975126528,370490241024,94772219904,256823103488,42094587,59054082,7047,7341,0,0,0,0,1
system,2024-04-15-17:10:11.838643,1713201011.83872,46.2,63.8,16650469376,2340519936,8990846976,370490241024,94771863552,256823459840,42225161,59164450,7256,7554,0,0,0,0,1
system,2024-04-15-17:10:21.839260,1713201021.8393197,36.7,63.8,16650469376,2349170688,8993378304,370490241024,94771814400,256823508992,42348033,59270540,7449,7742,0,0,0,0,1
system,2024-04-15-17:10:41.839495,1713201041.839564,26.6,66.0,16650469376,1936457728,9368014848,370490241024,94725505024,256869818368,88630641,109489811,9242,9647,0,0,0,0,1
system,2024-04-15-17:10:51.844202,1713201051.8442693,54.5,64.3,16650469376,2217992192,9086218240,370490241024,94725357568,256869965824,88779823,109618563,9455,9853,0,0,0,0,1
system,2024-04-15-17:11:02.180460,1713201062.180537,27.5,65.0,16650469376,2064683008,9183371264,370490241024,94717337600,256877985792,88984388,125494932,10157,10597,0,0,0,0,1
system,2024-04-15-17:11:12.112512,1713201072.1125736,26.6,64.9,16650469376,2084757504,9186680832,370490241024,94717181952,256878141440,89135558,125626456,10357,10793,0,0,0,0,1
system,2024-04-15-17:11:22.324940,1713201082.3249936,56.6,67.8,16650469376,1574723584,9681620992,370490241024,94694891520,256900440064,105290979,141761771,11048,11564,0,0,0,0,1
system,2024-04-15-17:11:31.839136,1713201091.8391836,41.3,65.4,16650469376,1969303552,9269882880,370490241024,94684807168,256910516224,121499286,141959104,11616,11876,0,0,0,0,1
system,2024-04-15-17:11:41.923162,1713201101.923208,21.4,65.2,16650469376,1997475840,9253613568,370490241024,94684565504,256910757888,121670937,142112019,11826,12079,0,0,0,0,1
system,2024-04-15-17:11:51.897759,1713201111.8978286,45.2,65.2,16650469376,2001833984,9248706560,370490241024,94684315648,256911007744,121859908,142283476,12039,12291,0,0,0,0,1
system,2024-04-15-17:12:02.270823,1713201122.2708852,29.7,65.2,16650469376,1997975552,9251680256,370490241024,94684045312,256911278080,122089089,142497265,12310,12549,0,0,0,0,1
system,2024-04-15-17:12:12.112979,1713201132.1130352,15.5,65.2,16650469376,1994661888,9257439232,370490241024,94683795456,256911527936,122277214,142665608,12511,12743,0,0,0,0,1
system,2024-04-15-17:12:22.188159,1713201142.188217,21.3,65.2,16650469376,1990553600,9257799680,370490241024,94683521024,256911802368,122474279,142843155,12717,12941,0,0,0,0,1
system,2024-04-15-17:12:31.839320,1713201151.8393924,41.8,65.2,16650469376,1990438912,9257213952,370490241024,94683271168,256912052224,122701665,143050489,12946,13161,0,0,0,0,1
system,2024-04-15-17:12:41.843283,1713201161.8433256,35.8,65.2,16650469376,1991077888,9255653376,370490241024,94682927104,256912396288,122969463,143300216,13223,13427,0,0,0,0,1
system,2024-04-15-17:12:51.839787,1713201171.8398485,41.0,65.2,16650469376,1967099904,9257119744,370490241024,94666846208,256928477184,139016487,143603480,14424,14296,0,0,0,0,1
system,2024-04-15-17:13:01.838424,1713201181.838491,38.0,65.3,16650469376,1948270592,9265799168,370490241024,94666473472,256928849920,139290982,143851842,14664,14531,0,0,0,0,1
system,2024-04-15-17:13:11.838970,1713201191.8390346,30.9,65.6,16650469376,1905160192,9316319232,370490241024,94678073344,256917250048,139530985,144064346,14872,14736,0,0,0,0,1
system,2024-04-15-17:13:31.838540,1713201211.8385954,23.1,69.5,16650469376,1204211712,9968496640,370490241024,94631288832,256964034560,187305600,176511579,16999,16509,0,0,0,0,1
system,2024-04-15-17:13:41.838539,1713201221.8386092,33.8,69.5,16650469376,1194737664,9977225216,370490241024,94630936576,256964386816,187565037,176739847,17208,16711,0,0,0,0,1
system,2024-04-15-17:13:51.839857,1713201231.83992,37.7,69.6,16650469376,1186484224,9984856064,370490241024,94630555648,256964767744,187830614,176975181,17417,16918,0,0,0,0,1
system,2024-04-15-17:14:01.840914,1713201241.840975,42.2,69.9,16650469376,1087868928,10041278464,370490241024,94609887232,256985436160,188170696,177285567,17668,17162,0,0,0,0,1
system,2024-04-15-17:14:11.840629,1713201251.8406715,20.3,68.7,16650469376,1293709312,9834557440,370490241024,94609477632,256985845760,188452953,177537980,17886,17375,0,0,0,0,1
system,2024-04-15-17:14:21.840209,1713201261.840255,40.2,68.7,16650469376,1281597440,9845915648,370490241024,94609039360,256986284032,188767299,177822484,18128,17608,0,0,0,0,1
system,2024-04-15-17:14:31.839593,1713201271.839641,36.6,68.7,16650469376,1281646592,9844998144,370490241024,94608580608,256986742784,189088942,178115940,18363,17839,0,0,0,0,1
system,2024-04-15-17:14:41.840246,1713201281.8403122,23.5,68.8,16650469376,1275469824,9850298368,370490241024,94608089088,256987234304,189415984,178411437,18592,18062,0,0,0,0,1
system,2024-04-15-17:14:51.840208,1713201291.840278,40.8,68.7,16650469376,1288261632,9840975872,370490241024,94607634432,256987688960,189718299,178681307,18796,18258,0,0,0,0,1
system,2024-04-15-17:15:01.844414,1713201301.8444877,59.0,69.1,16650469376,1215340544,9905135616,370490241024,94600953856,256994369536,190088303,179022501,19050,18507,0,0,0,0,1
system,2024-04-15-17:15:11.841956,1713201311.8420217,45.1,69.1,16650469376,1201414144,9918087168,370490241024,94600445952,256994877440,190440175,179345033,19296,18747,0,0,0,0,1
system,2024-04-15-17:15:21.838628,1713201321.8386807,41.5,69.1,16650469376,1207271424,9911169024,370490241024,94599892992,256995430400,190802248,179677255,19539,18985,0,0,0,0,1
