name,true-positives,false-positives,true-negatives,false-negatives,recall,selectivity,precision,miss-rate,fall-out,balanced-accuracy,accuracy,train-amount,test-amount,eval-amount,worker,cycle
logistic-regression-testing,1983,582,31386,6049,0.24689,0.98179,0.7731,0.75311,0.01821,0.61434,0.83422,360000,40000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-evaluation,4758,1427,78839,14976,0.24111,0.98222,0.76928,0.75889,0.01778,0.61166,0.83597,360000,0,100000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-testing,2261,832,31136,5771,0.2815,0.97397,0.73101,0.7185,0.02603,0.62774,0.83493,360000,40000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-evaluation,5433,2041,78225,14301,0.27531,0.97457,0.72692,0.72469,0.02543,0.62494,0.83658,360000,0,100000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-testing,2295,1029,30939,5737,0.28573,0.96781,0.69043,0.71427,0.03219,0.62677,0.83085,360000,40000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-evaluation,5505,2520,77746,14229,0.27896,0.9686,0.68598,0.72104,0.0314,0.62378,0.83251,360000,0,100000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-testing,2377,1196,30772,5655,0.29594,0.96259,0.66527,0.70406,0.03741,0.62926,0.82873,360000,40000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-evaluation,5723,2884,77382,14011,0.29001,0.96407,0.66492,0.70999,0.03593,0.62704,0.83105,360000,0,100000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-testing,2402,1317,30651,5630,0.29905,0.9588,0.64587,0.70095,0.0412,0.62893,0.82632,360000,40000,0,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-evaluation,5778,3195,77071,13956,0.29279,0.96019,0.64393,0.70721,0.03981,0.62649,0.82849,360000,0,100000,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-testing,1989,598,31444,5969,0.24994,0.98134,0.76884,0.75006,0.01866,0.61564,0.83583,360000,40000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-evaluation,5030,1403,78537,15030,0.25075,0.98245,0.78191,0.74925,0.01755,0.6166,0.83567,360000,0,100000,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-testing,2201,853,31189,5757,0.27658,0.97338,0.72069,0.72342,0.02662,0.62498,0.83475,360000,40000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-evaluation,5613,2002,77938,14447,0.27981,0.97496,0.7371,0.72019,0.02504,0.62738,0.83551,360000,0,100000,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-testing,2244,1030,31012,5714,0.28198,0.96785,0.6854,0.71802,0.03215,0.62492,0.8314,360000,40000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-evaluation,5698,2476,77464,14362,0.28405,0.96903,0.69709,0.71595,0.03097,0.62654,0.83162,360000,0,100000,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-testing,2302,1166,30876,5656,0.28927,0.96361,0.66378,0.71073,0.03639,0.62644,0.82945,360000,40000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-evaluation,5861,2819,77121,14199,0.29217,0.96474,0.67523,0.70783,0.03526,0.62845,0.82982,360000,0,100000,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-testing,2363,1291,30751,5595,0.29693,0.95971,0.64669,0.70307,0.04029,0.62832,0.82785,360000,40000,0,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
logistic-regression-evaluation,6004,3115,76825,14056,0.2993,0.96103,0.65841,0.7007,0.03897,0.63017,0.82829,360000,0,100000,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
