name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,worker,cycle
server,2024-04-15-17:10:06.877120,1713201006.8771834,0.0,348356608,2135670784,128843776,4096,952991744,0,0,223485952,0,61440,55077214,16721,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:11.878542,1713201011.8786407,10.0,348356608,2135687168,128843776,4096,953020416,0,0,223510528,0,61440,55082643,16854,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:16.871043,1713201016.871109,0.0,348356608,2135687168,128843776,4096,953020416,0,0,223510528,0,61440,55084397,16930,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:21.875511,1713201021.875572,49.4,348356608,2135687168,128843776,4096,953020416,0,0,223510528,0,65536,55086151,17072,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:26.865153,1713201026.8652024,0.0,348356608,2135687168,128843776,4096,953020416,0,0,223510528,0,65536,55087905,17148,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:31.874922,1713201031.8749816,49.8,348356608,2135687168,128843776,4096,953020416,0,0,223502336,0,65536,55089659,17286,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:36.875695,1713201036.875779,0.0,348356608,2135687168,128843776,4096,953020416,0,0,223502336,0,65536,55091414,17362,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:41.870896,1713201041.8709447,10.0,348356608,2135687168,128843776,4096,953020416,0,0,223502336,0,65536,55093169,17430,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:46.871129,1713201046.87119,0.0,348356608,2135687168,128843776,4096,953020416,0,0,223502336,0,73728,55094924,17506,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:51.878145,1713201051.8782082,69.7,348356608,2135687168,128843776,4096,953020416,0,0,223502336,0,73728,55096679,17718,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:10:56.869054,1713201056.869116,0.0,348356608,2135687168,128843776,4096,953020416,0,0,223502336,0,73728,55098434,17794,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:11:01.882228,1713201061.8823063,10.0,348356608,2135687168,128843776,4096,953024512,0,0,223506432,0,73728,55100189,17862,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:11:06.867376,1713201066.8674266,0.0,348356608,2135687168,128843776,4096,953024512,0,0,223506432,0,77824,55101944,17938,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:11:11.874666,1713201071.8747423,39.9,348356608,2135687168,128843776,4096,953024512,0,0,223506432,0,77824,55103699,18076,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:11:16.878926,1713201076.879011,10.0,348356608,2135687168,128843776,4096,953024512,0,0,223506432,0,77824,55105454,18152,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:11:21.870515,1713201081.8705742,39.9,348356608,2135687168,128843776,4096,953024512,0,0,223506432,0,81920,55107209,18294,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-17:11:26.866018,1713201086.8660638,0.0,348356608,2135687168,128843776,4096,953024512,0,0,223506432,0,81920,55108964,18370,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
