name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,worker,cycle
logistic-regression-training,10,5,720000.0,1713201235.4899364,1713201337.5694726,102.07954,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-testing,0,625,64.0,1713201337.6720812,1713201339.8835857,2.2115,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713201340.0316186,1713201346.23124,6.19962,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
logistic-regression-training,10,5,720000.0,1713201592.3430989,1713201691.7114813,99.36838,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-testing,0,625,64.0,1713201691.8088331,1713201694.495194,2.68636,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713201694.6319697,1713201700.3361804,5.70421,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
logistic-regression-training,10,5,720000.0,1713201952.3166523,1713202070.8108363,118.49418,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-testing,0,625,64.0,1713202070.903431,1713202073.5320594,2.62863,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713202073.6672573,1713202079.6607592,5.9935,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
logistic-regression-training,10,5,720000.0,1713202312.3337758,1713202429.8290172,117.49524,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-testing,0,625,64.0,1713202429.923795,1713202432.3492944,2.4255,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713202432.4848857,1713202438.0858414,5.60096,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
logistic-regression-training,10,5,720000.0,1713202672.599489,1713202787.1748557,114.57537,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-testing,0,625,64.0,1713202787.2050385,1713202789.2145526,2.00951,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-evaluation,0,1563,63.97952655150352,1713202789.3606856,1713202795.2062602,5.84557,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
logistic-regression-training,10,5,720000.0,1713201294.6114116,1713201399.2822492,104.67084,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-testing,0,625,64.0,1713201399.374057,1713201401.066074,1.69202,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713201401.1407979,1713201405.5485942,4.4078,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
logistic-regression-training,10,5,720000.0,1713201652.3180218,1713201750.1144097,97.79639,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-testing,0,625,64.0,1713201750.2137952,1713201753.2162108,3.00242,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713201753.364913,1713201758.335651,4.97074,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
logistic-regression-training,10,5,720000.0,1713201952.4511516,1713202070.0704694,117.61932,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-testing,0,625,64.0,1713202070.1730003,1713202072.8032613,2.63026,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713202073.0331514,1713202078.5819745,5.54882,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
logistic-regression-training,10,5,720000.0,1713202312.5522902,1713202428.690802,116.13851,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-testing,0,625,64.0,1713202428.787705,1713202430.9976795,2.20997,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713202431.136536,1713202437.1726065,6.03607,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
logistic-regression-training,10,5,720000.0,1713202672.5402296,1713202787.238081,114.69785,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
logistic-regression-testing,0,625,64.0,1713202787.2790787,1713202789.2348576,1.95578,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
logistic-regression-evaluation,0,1563,63.97952655150352,1713202789.3598764,1713202795.1550682,5.79519,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
