name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,cycle
logistic-regression-training,10,5,360000.0,1713198271.5654986,1713198322.398594,50.8331,1
logistic-regression-testing,0,782,63.9386189258312,1713198322.4369943,1713198324.605797,2.1688,1
logistic-regression-evaluation,0,782,63.9386189258312,1713198324.7331681,1713198326.7722483,2.03908,1
logistic-regression-evaluation,0,782,63.9386189258312,1713198568.541884,1713198571.6925383,3.15065,1
logistic-regression-evaluation,0,782,63.9386189258312,1713198768.6292834,1713198770.840025,2.21074,2
logistic-regression-evaluation,0,782,63.9386189258312,1713199018.26526,1713199020.589768,2.32451,3
logistic-regression-evaluation,0,782,63.9386189258312,1713199318.4274065,1713199320.8853662,2.45796,4
logistic-regression-evaluation,0,782,63.9386189258312,1713199518.3788064,1713199521.2303238,2.85152,5
