name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198447.1433344,1713198447.3073654,0.16403,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198457.1476412,1713198457.227564,0.07992,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198457.1911035,1713198457.3073492,0.11625,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198467.2013133,1713198467.3234887,0.12218,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198467.4084067,1713198467.466335,0.05793,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198477.2114508,1713198477.3399227,0.12847,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198477.2679424,1713198477.4838567,0.21591,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198487.1788912,1713198487.3036516,0.12476,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198487.2391982,1713198487.3649607,0.12576,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198497.174597,1713198497.3053262,0.13073,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198497.1476526,1713198497.33958,0.19193,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198507.221081,1713198507.3421397,0.12106,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198507.5773354,1713198507.7537744,0.17644,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198517.142144,1713198517.2055852,0.06344,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198517.168519,1713198517.2813292,0.11281,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198527.143131,1713198527.2602158,0.11708,1
update-from-worker-<built-in function id>,1713198527.1791422,1713198527.4545772,0.27543,1
update-from-worker-<built-in function id>,1713198527.2025127,1713198527.5144978,0.31199,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198527.1746652,1713198527.5961375,0.42147,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198537.144725,1713198537.2674809,0.12276,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198537.1771407,1713198537.3483868,0.17125,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198547.1456475,1713198547.2832603,0.13761,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198547.174264,1713198547.3803422,0.20608,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198557.1777763,1713198557.352395,0.17462,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198557.1482375,1713198557.3216271,0.17339,1
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198567.1497998,1713198567.2772083,0.12741,1
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198567.1770627,1713198567.3564284,0.17937,1
update-global-model,1713198567.5910892,1713198568.3262,0.73511,1
evaluate-global-model,1713198568.4506605,1713198572.9787362,4.52808,1
