name,action-time-start,action-time-end,action-total-seconds,cycle
check-workers,1713198192.5816197,1713198192.587547,0.00593,1
server-monitoring,1713198192.5845442,1713198192.9384332,0.35389,1
check-workers,1713198197.5818217,1713198197.7145505,0.13273,1
server-monitoring,1713198197.5838149,1713198197.9485245,0.36471,1
system-monitoring,1713198197.585403,1713198197.9948602,0.40946,1
check-workers,1713198202.5814986,1713198202.6851265,0.10363,1
server-monitoring,1713198202.5833914,1713198202.7877128,0.20432,1
check-workers,1713198207.5826883,1713198207.693373,0.11068,1
model-pipeline,1713198207.5869346,1713198207.6392646,0.05233,1
update-pipeline,1713198207.587448,1713198213.706097,6.11865,1
server-monitoring,1713198207.5855966,1713198214.8272822,7.24169,1
system-monitoring,1713198207.58592,1713198214.7902942,7.20437,1
check-workers,1713198218.0115862,1713198218.8758852,0.8643,1
system-monitoring,1713198218.1283898,1713198218.98559,0.8572,1
aggregation-pipeline,1713198218.1288495,1713198219.0979357,0.96909,1
server-monitoring,1713198218.126077,1713198219.1360095,1.00993,1
data-pipeline,1713198207.5864286,1713198219.6858997,12.09947,1
check-workers,1713198222.581536,1713198222.734065,0.15253,1
server-monitoring,1713198222.5834205,1713198222.8388593,0.25544,1
check-workers,1713198227.5815458,1713198227.6164043,0.03486,1
system-monitoring,1713198227.5835087,1713198227.747657,0.16415,1
server-monitoring,1713198227.5831933,1713198227.8482492,0.26506,1
check-workers,1713198232.5814056,1713198232.6849306,0.10352,1
server-monitoring,1713198232.5832496,1713198232.7860053,0.20276,1
check-workers,1713198237.5816355,1713198237.615194,0.03356,1
data-pipeline,1713198237.5841162,1713198237.6486337,0.06452,1
server-monitoring,1713198237.5832646,1713198237.8153803,0.23212,1
system-monitoring,1713198237.5839171,1713198237.7840314,0.20011,1
check-workers,1713198242.5815637,1713198242.695497,0.11393,1
server-monitoring,1713198242.5836246,1713198242.816923,0.2333,1
check-workers,1713198247.5813048,1713198247.623741,0.04244,1
system-monitoring,1713198247.5839162,1713198250.075687,2.49177,1
server-monitoring,1713198247.5832858,1713198250.2564054,2.67312,1
check-workers,1713198252.907141,1713198253.1736114,0.26647,1
server-monitoring,1713198252.9072604,1713198253.2145467,0.30729,1
update-pipeline,1713198247.5855389,1713198253.320539,5.735,1
check-workers,1713198257.5815809,1713198257.6165757,0.03499,1
system-monitoring,1713198257.583939,1713198257.7556047,0.17167,1
server-monitoring,1713198257.5834048,1713198257.8671408,0.28374,1
check-workers,1713198262.5815284,1713198262.68455,0.10302,1
server-monitoring,1713198262.5833864,1713198262.8004615,0.21708,1
check-workers,1713198267.5820346,1713198267.6221972,0.04016,1
data-pipeline,1713198267.5855176,1713198267.7295983,0.14408,1
aggregation-pipeline,1713198267.5860868,1713198267.7449899,0.1589,1
system-monitoring,1713198267.5851095,1713198267.8335218,0.24841,1
server-monitoring,1713198267.5848026,1713198267.9730053,0.3882,1
check-workers,1713198272.7198932,1713198272.8102434,0.09035,1
server-monitoring,1713198272.7328148,1713198272.9587014,0.22589,1
check-workers,1713198277.5987535,1713198278.2912288,0.69248,1
system-monitoring,1713198277.6248755,1713198278.4005873,0.77571,1
server-monitoring,1713198277.6193397,1713198278.3450937,0.72575,1
check-workers,1713198282.6705284,1713198282.853188,0.18266,1
server-monitoring,1713198282.6774023,1713198283.3969078,0.71951,1
check-workers,1713198287.5989084,1713198288.1226764,0.52377,1
update-pipeline,1713198287.6098325,1713198288.549983,0.94015,1
check-workers,1713198292.59602,1713198293.0288098,0.43279,1
server-monitoring,1713198292.6026263,1713198293.202593,0.59997,1
check-workers,1713198297.5819042,1713198297.6340654,0.05216,1
data-pipeline,1713198297.5850122,1713198297.6641965,0.07918,1
system-monitoring,1713198297.5845592,1713198298.5436616,0.9591,1
server-monitoring,1713198297.584192,1713198298.6301033,1.04591,1
check-workers,1713198302.6429675,1713198302.8034601,0.16049,1
server-monitoring,1713198302.644685,1713198302.9152386,0.27055,1
check-workers,1713198307.5851429,1713198307.6352396,0.0501,1
system-monitoring,1713198307.5855856,1713198307.785228,0.19964,1
server-monitoring,1713198307.5852735,1713198307.83042,0.24515,1
check-workers,1713198312.5963082,1713198312.7666302,0.17032,1
server-monitoring,1713198312.597982,1713198313.3579643,0.75998,1
check-workers,1713198317.7608526,1713198318.062959,0.30211,1
aggregation-pipeline,1713198317.7847264,1713198318.0931304,0.3084,1
server-monitoring,1713198317.7711723,1713198318.2933583,0.52219,1
system-monitoring,1713198317.781694,1713198318.3361661,0.55447,1
check-workers,1713198322.581169,1713198322.614736,0.03357,1
server-monitoring,1713198322.5824924,1713198322.7638094,0.18132,1
check-workers,1713198327.5827057,1713198327.6296635,0.04696,1
update-pipeline,1713198327.5864167,1713198327.701561,0.11514,1
data-pipeline,1713198327.5860841,1713198327.7218897,0.13581,1
server-monitoring,1713198327.5854032,1713198328.048237,0.46283,1
system-monitoring,1713198327.5856345,1713198328.1481369,0.5625,1
model-pipeline,1713198267.5857995,1713198329.9485424,62.36274,1
check-workers,1713198332.581245,1713198332.6825101,0.10127,1
server-monitoring,1713198332.582888,1713198332.7828302,0.19994,1
system-monitoring,1713198337.5832922,1713198337.8517838,0.26849,1
check-workers,1713198337.5813286,1713198337.774718,0.19339,1
server-monitoring,1713198337.582984,1713198337.957364,0.37438,1
check-workers,1713198342.5815377,1713198342.684667,0.10313,1
server-monitoring,1713198342.583407,1713198342.7816486,0.19824,1
check-workers,1713198347.5816543,1713198347.6168528,0.0352,1
system-monitoring,1713198347.5838542,1713198347.7365458,0.15269,1
server-monitoring,1713198347.5835404,1713198347.830396,0.24686,1
check-workers,1713198352.5815217,1713198352.6849067,0.10338,1
server-monitoring,1713198352.583373,1713198352.7793593,0.19599,1
check-workers,1713198357.581968,1713198357.6232476,0.04128,1
data-pipeline,1713198357.5856571,1713198357.6954072,0.10975,1
system-monitoring,1713198357.5848646,1713198357.7550428,0.17018,1
server-monitoring,1713198357.5845964,1713198357.8845801,0.29998,1
check-workers,1713198362.5811973,1713198362.6834397,0.10224,1
server-monitoring,1713198362.583617,1713198362.7810864,0.19747,1
check-workers,1713198367.5816276,1713198367.7134247,0.1318,1
aggregation-pipeline,1713198367.586145,1713198367.858025,0.27188,1
server-monitoring,1713198367.5834846,1713198367.9040182,0.32053,1
system-monitoring,1713198367.5839763,1713198367.9539433,0.36997,1
check-workers,1713198372.580947,1713198372.6078963,0.02695,1
server-monitoring,1713198372.5821037,1713198372.7563415,0.17424,1
update-pipeline,1713198367.585634,1713198377.2241178,9.63848,1
check-workers,1713198377.5813584,1713198377.7179563,0.1366,1
system-monitoring,1713198377.5838172,1713198377.7807355,0.19692,1
server-monitoring,1713198377.5833724,1713198377.8462327,0.26286,1
check-workers,1713198382.5812368,1713198382.6911716,0.10993,1
server-monitoring,1713198382.5828955,1713198382.7963228,0.21343,1
check-workers,1713198387.582,1713198387.6440861,0.06209,1
model-pipeline,1713198387.5877895,1713198387.667468,0.07968,1
data-pipeline,1713198387.5867195,1713198387.7511468,0.16443,1
system-monitoring,1713198387.5858529,1713198387.989008,0.40316,1
server-monitoring,1713198387.5847416,1713198388.227167,0.64243,1
check-workers,1713198392.581506,1713198392.6851861,0.10368,1
server-monitoring,1713198392.5833697,1713198392.7820375,0.19867,1
check-workers,1713198397.5812273,1713198397.6174724,0.03625,1
system-monitoring,1713198397.5833635,1713198397.7364492,0.15309,1
server-monitoring,1713198397.5828254,1713198397.9562984,0.37347,1
check-workers,1713198402.5814738,1713198402.6926641,0.11119,1
server-monitoring,1713198402.5834436,1713198402.8047802,0.22134,1
check-workers,1713198407.5815125,1713198407.6168184,0.03531,1
update-pipeline,1713198407.5842998,1713198407.6950235,0.11072,1
system-monitoring,1713198407.5840094,1713198407.7609167,0.17691,1
server-monitoring,1713198407.5831442,1713198407.9171062,0.33396,1
check-workers,1713198412.581334,1713198412.6871934,0.10586,1
server-monitoring,1713198412.5831785,1713198412.8020904,0.21891,1
data-pipeline,1713198417.5856838,1713198417.6551178,0.06943,1
aggregation-pipeline,1713198417.58911,1713198417.7574801,0.16837,1
check-workers,1713198417.5818055,1713198417.7428327,0.16103,1
system-monitoring,1713198417.584693,1713198418.0585396,0.47385,1
check-workers,1713198422.5813358,1713198422.6819997,0.10066,1
server-monitoring,1713198422.5829914,1713198422.7782233,0.19523,1
