name,date,time,cpu-percent,ram-percent,ram-total-bytes,ram-free-bytes,ram-used-bytes,disk-total-bytes,disk-free-bytes,disk-used-bytes,network-sent-bytes,network-received-bytes,network-packets-sent,network-packets-received,network-packets-sending-errors,network-packets-reciving-errors,network-packets-outgoing-dropped,network-packets-incoming-dropped,cycle
system,2024-04-15-16:28:07.584774,1713198487.5848613,36.6,58.7,16650469376,3356135424,8473313280,370490241024,94957826048,256637497344,102105906,96158677,15856,15251,0,0,0,0,1
system,2024-04-15-16:28:17.584409,1713198497.5844722,63.0,58.7,16650469376,3353845760,8474746880,370490241024,94957232128,256638091264,102460189,96482648,16089,15476,0,0,0,0,1
system,2024-04-15-16:28:27.588267,1713198507.588352,45.6,58.7,16650469376,3352039424,8475840512,370490241024,94956826624,256638496768,102765630,96757169,16277,15659,0,0,0,0,1
system,2024-04-15-16:28:37.585391,1713198517.5854547,19.5,58.8,16650469376,3318292480,8477450240,370490241024,94943227904,256652095488,103189003,97150854,16555,15933,0,0,0,0,1
system,2024-04-15-16:28:47.584866,1713198527.584932,38.3,58.8,16650469376,3311595520,8494776320,370490241024,94942642176,256652681216,103587383,97521955,16843,16219,0,0,0,0,1
system,2024-04-15-16:28:57.585035,1713198537.5850873,15.0,58.9,16650469376,3297157120,8507973632,370490241024,94941929472,256653393920,104008900,97911199,17107,16486,0,0,0,0,1
system,2024-04-15-16:29:07.585913,1713198547.5860057,48.7,59.1,16650469376,3262722048,8507645952,370490241024,94941339648,256653983744,104400571,98272191,17344,16718,0,0,0,0,1
system,2024-04-15-16:29:17.584410,1713198557.5844939,22.5,59.0,16650469376,3274240000,8531181568,370490241024,94940680192,256654643200,104782256,98606226,17571,16944,0,0,0,0,1
system,2024-04-15-16:29:27.587661,1713198567.5877278,59.3,59.0,16650469376,3276075008,8517832704,370490241024,94940024832,256655298560,105169733,98946983,17796,17173,0,0,0,0,1
system,2024-04-15-16:29:37.585338,1713198577.5853987,12.5,59.0,16650469376,3266056192,8517537792,370490241024,94937829376,256657494016,107184597,100907851,18655,18007,0,0,0,0,2
system,2024-04-15-16:29:47.584749,1713198587.5848165,13.8,58.9,16650469376,3279323136,8525950976,370490241024,94937624576,256657698816,107318570,101002232,18839,18191,0,0,0,0,2
system,2024-04-15-16:29:57.585341,1713198597.5854003,14.8,59.0,16650469376,3272110080,8532463616,370490241024,94937432064,256657891328,107462593,101106396,19033,18380,0,0,0,0,2
system,2024-04-15-16:30:07.585853,1713198607.585914,13.9,59.0,16650469376,3266691072,8537026560,370490241024,94937235456,256658087936,107625525,101229720,19253,18591,0,0,0,0,2
system,2024-04-15-16:30:17.586039,1713198617.5860925,16.9,59.7,16650469376,3137912832,8649003008,370490241024,94921166848,256674156544,123683488,109358498,19965,19181,0,0,0,0,2
system,2024-04-15-16:30:27.585397,1713198627.5854745,23.7,59.7,16650469376,3134607360,8651759616,370490241024,94920921088,256674402304,123862529,109496918,20184,19391,0,0,0,0,2
system,2024-04-15-16:30:37.585097,1713198637.5851722,7.1,59.8,16650469376,3117649920,8655306752,370490241024,94920679424,256674643968,124062164,109656240,20421,19623,0,0,0,0,2
system,2024-04-15-16:30:47.586020,1713198647.5861094,14.6,59.7,16650469376,3136450560,8647647232,370490241024,94920413184,256674910208,124242524,109794816,20623,19820,0,0,0,0,2
system,2024-04-15-16:30:57.586401,1713198657.5864756,33.3,60.4,16650469376,3013365760,8770199552,370490241024,94920208384,256675115008,147994305,125856175,21667,20731,0,0,0,0,2
system,2024-04-15-16:31:07.587308,1713198667.5873852,14.3,60.2,16650469376,3025227776,8743858176,370490241024,94905729024,256689594368,148206219,126024113,21895,20950,0,0,0,0,2
system,2024-04-15-16:31:17.584094,1713198677.5841448,11.4,60.2,16650469376,3031040000,8737529856,370490241024,94905442304,256689881088,148428411,126201825,22133,21176,0,0,0,0,2
system,2024-04-15-16:31:27.586131,1713198687.5861928,44.3,60.2,16650469376,3024171008,8743710720,370490241024,94905155584,256690167808,148637563,126366439,22341,21380,0,0,0,0,2
system,2024-04-15-16:31:37.582681,1713198697.5827422,60.2,60.4,16650469376,2995396608,8763932672,370490241024,94904791040,256690532352,148896605,126583135,22590,21619,0,0,0,0,2
system,2024-04-15-16:31:47.582200,1713198707.5822737,44.9,60.4,16650469376,3003080704,8767356928,370490241024,94904537088,256690786304,149117374,126758009,22796,21815,0,0,0,0,2
system,2024-04-15-16:31:57.585644,1713198717.5857315,43.9,60.4,16650469376,2997743616,8772059136,370490241024,94904143872,256691179520,149358872,126953747,23021,22032,0,0,0,0,2
system,2024-04-15-16:32:07.586308,1713198727.5863771,46.8,60.3,16650469376,3004727296,8764157952,370490241024,94903808000,256691515392,149627441,127179476,23270,22265,0,0,0,0,2
system,2024-04-15-16:32:17.582890,1713198737.5829444,62.2,60.3,16650469376,3004952576,8763006976,370490241024,94903336960,256691986432,149895243,127408699,23512,22492,0,0,0,0,2
system,2024-04-15-16:32:27.585860,1713198747.5859246,48.7,60.4,16650469376,2999029760,8767995904,370490241024,94902878208,256692445184,150153026,127614171,23732,22700,0,0,0,0,2
system,2024-04-15-16:32:37.584300,1713198757.58436,14.8,60.4,16650469376,2978869248,8761819136,370490241024,94889861120,256705462272,150452727,127869845,23980,22938,0,0,0,0,2
system,2024-04-15-16:32:47.586376,1713198767.5864286,37.3,60.4,16650469376,2986246144,8765530112,370490241024,94889455616,256705867776,150727465,128100699,24222,23174,0,0,0,0,2
system,2024-04-15-16:32:57.584531,1713198777.5845842,6.3,60.3,16650469376,2987171840,8761393152,370490241024,94887415808,256707907584,152519462,129834627,25081,24012,0,0,0,0,3
system,2024-04-15-16:33:07.584397,1713198787.5844562,12.2,60.4,16650469376,3003944960,8770527232,370490241024,94913302528,256682020864,152686176,129944833,25290,24219,0,0,0,0,3
system,2024-04-15-16:33:17.584742,1713198797.584803,9.0,60.4,16650469376,3006668800,8767086592,370490241024,94913179648,256682143744,152850903,130051845,25487,24409,0,0,0,0,3
system,2024-04-15-16:33:27.585869,1713198807.585929,29.8,60.4,16650469376,3007758336,8765444096,370490241024,94913040384,256682283008,153022198,130165964,25691,24605,0,0,0,0,3
system,2024-04-15-16:33:37.585037,1713198817.5850878,12.8,60.5,16650469376,2960957440,8784080896,370490241024,94897016832,256698306560,169115574,138308506,26570,25292,0,0,0,0,3
system,2024-04-15-16:33:47.584660,1713198827.584712,14.8,60.4,16650469376,2978017280,8778125312,370490241024,94896852992,256698470400,169314544,138449248,26789,25504,0,0,0,0,3
system,2024-04-15-16:33:57.584624,1713198837.5846772,13.7,60.5,16650469376,2961272832,8777449472,370490241024,94896590848,256698732544,169537452,138584531,27002,25716,0,0,0,0,3
system,2024-04-15-16:34:07.584743,1713198847.5848145,16.0,60.5,16650469376,2965508096,8772710400,370490241024,94896476160,256698847232,169750684,138739538,27227,25934,0,0,0,0,3
system,2024-04-15-16:34:17.584791,1713198857.5848432,12.5,60.8,16650469376,2911653888,8808202240,370490241024,94896193536,256699129856,193535505,154787916,28274,26865,0,0,0,0,3
system,2024-04-15-16:34:27.586548,1713198867.5866413,48.8,61.1,16650469376,2866679808,8834023424,370490241024,94896078848,256699244544,193748755,154938302,28482,27062,0,0,0,0,3
system,2024-04-15-16:34:37.584604,1713198877.584674,13.9,61.2,16650469376,2826334208,8871817216,370490241024,94881652736,256713670656,194019918,155149648,28761,27328,0,0,0,0,3
system,2024-04-15-16:34:47.584574,1713198887.584627,15.0,61.2,16650469376,2833244160,8875941888,370490241024,94881456128,256713867264,194246079,155313141,28970,27529,0,0,0,0,3
system,2024-04-15-16:34:57.585068,1713198897.5851219,17.3,61.0,16650469376,2866892800,8862498816,370490241024,94881181696,256714141696,194496563,155501929,29198,27749,0,0,0,0,3
system,2024-04-15-16:35:07.584605,1713198907.5846682,10.3,61.0,16650469376,2857938944,8870760448,370490241024,94880903168,256714420224,194754591,155698327,29427,27971,0,0,0,0,3
system,2024-04-15-16:35:17.584665,1713198917.5847251,25.0,61.0,16650469376,2856857600,8871387136,370490241024,94880641024,256714682368,195000038,155881379,29632,28172,0,0,0,0,3
system,2024-04-15-16:35:27.585158,1713198927.5852363,47.0,61.1,16650469376,2838949888,8888713216,370490241024,94880329728,256714993664,195275185,156096974,29873,28409,0,0,0,0,3
system,2024-04-15-16:35:37.587062,1713198937.587157,65.4,61.5,16650469376,2781474816,8934199296,370490241024,94879936512,256715386880,195630285,156358849,30158,28681,0,0,0,0,3
system,2024-04-15-16:35:47.585167,1713198947.585248,66.3,61.8,16650469376,2731511808,8934084608,370490241024,94879682560,256715640832,195886632,156553180,30361,28874,0,0,0,0,3
system,2024-04-15-16:35:57.587641,1713198957.5877182,100.0,62.6,16650469376,2589446144,9024528384,370490241024,94878928896,256716394496,196151813,156756907,30562,29066,0,0,0,0,3
system,2024-04-15-16:36:07.590127,1713198967.5901952,59.3,62.0,16650469376,2694639616,8983252992,370490241024,94878375936,256716947456,196459291,157001317,30807,29301,0,0,0,0,3
system,2024-04-15-16:36:17.584320,1713198977.5843785,35.0,61.6,16650469376,2764443648,8916938752,370490241024,94877999104,256717324288,196805263,157286308,31086,29568,0,0,0,0,3
system,2024-04-15-16:36:27.583430,1713198987.5834866,38.3,61.4,16650469376,2789744640,8891002880,370490241024,94877683712,256717639680,197082914,157501893,31286,29761,0,0,0,0,3
system,2024-04-15-16:36:37.586588,1713198997.5866702,74.4,61.9,16650469376,2691448832,8952774656,370490241024,94870831104,256724492288,197444680,157802209,31555,30023,0,0,0,0,3
system,2024-04-15-16:36:47.588589,1713199007.5886676,51.2,61.8,16650469376,2699759616,8950583296,370490241024,94864134144,256731189248,197781725,158045257,31793,30260,0,0,0,0,3
system,2024-04-15-16:36:57.585257,1713199017.5853112,27.2,61.7,16650469376,2721771520,8953552896,370490241024,94863556608,256731766784,198175474,158374748,32087,30544,0,0,0,0,3
system,2024-04-15-16:37:07.584913,1713199027.5849724,14.8,61.7,16650469376,2721255424,8959889408,370490241024,94861643776,256733679616,199971815,160098077,32901,31348,0,0,0,0,4
system,2024-04-15-16:37:17.584673,1713199037.5847347,12.3,61.7,16650469376,2726854656,8953712640,370490241024,94861504512,256733818880,200144564,160196628,33093,31539,0,0,0,0,4
system,2024-04-15-16:37:27.585813,1713199047.5858784,24.7,61.7,16650469376,2722467840,8957624320,370490241024,94861365248,256733958144,200325591,160304593,33292,31736,0,0,0,0,4
system,2024-04-15-16:37:37.584351,1713199057.5844054,10.3,61.8,16650469376,2679820288,8970223616,370490241024,94845337600,256749985792,216442865,168456154,34155,32426,0,0,0,0,4
system,2024-04-15-16:37:47.585402,1713199067.585478,13.4,61.6,16650469376,2718535680,8943009792,370490241024,94845190144,256750133248,216640359,168577068,34357,32619,0,0,0,0,4
system,2024-04-15-16:37:57.584769,1713199077.5848222,13.8,61.6,16650469376,2715213824,8945790976,370490241024,94845026304,256750297088,216857984,168719131,34583,32837,0,0,0,0,4
system,2024-04-15-16:38:07.585418,1713199087.585479,12.7,61.6,16650469376,2735591424,8946470912,370490241024,94866124800,256729198592,217082907,168868634,34806,33054,0,0,0,0,4
system,2024-04-15-16:38:17.584388,1713199097.584442,11.1,62.4,16650469376,2611093504,9070297088,370490241024,94865895424,256729427968,240874016,184928916,35993,34022,0,0,0,0,4
system,2024-04-15-16:38:27.585500,1713199107.5855558,41.8,62.5,16650469376,2580221952,9100685312,370490241024,94865772544,256729550848,241100569,185075138,36205,34220,0,0,0,0,4
system,2024-04-15-16:38:37.589197,1713199117.5892463,4.9,62.5,16650469376,2565931008,9087963136,370490241024,94851362816,256743960576,241364548,185260456,36453,34457,0,0,0,0,4
system,2024-04-15-16:38:47.585199,1713199127.5852833,15.9,62.5,16650469376,2573611008,9091469312,370490241024,94851112960,256744210432,241624809,185442089,36697,34687,0,0,0,0,4
system,2024-04-15-16:38:57.585473,1713199137.5855484,16.0,62.5,16650469376,2572320768,9091985408,370490241024,94850850816,256744472576,241888569,185626479,36930,34906,0,0,0,0,4
system,2024-04-15-16:39:07.585046,1713199147.5851266,34.2,62.9,16650469376,2511106048,9113411584,370490241024,94850564096,256744759296,242200926,185819651,37170,35140,0,0,0,0,4
system,2024-04-15-16:39:17.586082,1713199157.586165,19.5,62.6,16650469376,2555023360,9110007808,370490241024,94850338816,256744984576,242459283,185998078,37383,35345,0,0,0,0,4
system,2024-04-15-16:39:27.588499,1713199167.5885925,74.4,62.7,16650469376,2544164864,9123766272,370490241024,94850076672,256745246720,242723646,186183040,37596,35549,0,0,0,0,4
system,2024-04-15-16:39:37.586812,1713199177.5869548,53.7,62.5,16650469376,2560901120,9110638592,370490241024,94849769472,256745553920,243057952,186440383,37867,35803,0,0,0,0,4
system,2024-04-15-16:39:47.583264,1713199187.5833404,61.7,62.6,16650469376,2551668736,9111666688,370490241024,94849474560,256745848832,243330778,186636072,38080,36007,0,0,0,0,4
system,2024-04-15-16:39:57.587172,1713199197.5872788,60.3,62.6,16650469376,2546024448,9113673728,370490241024,94849155072,256746168320,243621086,186843574,38299,36217,0,0,0,0,4
system,2024-04-15-16:40:07.587293,1713199207.587389,67.1,62.6,16650469376,2548568064,9112461312,370490241024,94848724992,256746598400,243933989,187077467,38534,36443,0,0,0,0,4
system,2024-04-15-16:40:17.588169,1713199217.5882723,53.6,62.7,16650469376,2528161792,9115471872,370490241024,94848335872,256746987520,244254429,187318760,38770,36668,0,0,0,0,4
system,2024-04-15-16:40:27.586309,1713199227.5864031,39.5,62.8,16650469376,2514800640,9126682624,370490241024,94847942656,256747380736,244606593,187593013,39051,36936,0,0,0,0,4
system,2024-04-15-16:40:37.584512,1713199237.5845788,43.4,62.7,16650469376,2530758656,9111867392,370490241024,94847442944,256747880448,244965707,187873567,39305,37180,0,0,0,0,4
system,2024-04-15-16:40:47.584190,1713199247.5842588,46.2,62.8,16650469376,2503733248,9116852224,370490241024,94834376704,256760946688,245344310,188137704,39561,37433,0,0,0,0,4
system,2024-04-15-16:40:57.585796,1713199257.5858653,12.5,62.9,16650469376,2488352768,9135374336,370490241024,94833840128,256761483264,245704999,188411157,39802,37669,0,0,0,0,4
system,2024-04-15-16:41:07.587942,1713199267.5880065,17.1,62.8,16650469376,2505703424,9124765696,370490241024,94833487872,256761835520,246109508,188693424,40048,37908,0,0,0,0,4
system,2024-04-15-16:41:17.585367,1713199277.5854468,25.3,62.8,16650469376,2501255168,9126948864,370490241024,94832930816,256762392576,246527181,188989389,40309,38162,0,0,0,0,4
