name,status-code,payload-size-bytes,processing-time-seconds,elapsed-time-seconds,action-time-start,action-time-end,action-total-seconds,worker,cycle
sending-info-to-central,200,435,0.22437834739685059,0.150502,1713198197.124472,1713198197.3488503,0.22438,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.31517934799194336,0.2924,1713198207.1250618,1713198207.440241,0.31518,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,1.8191511631011963,1.80754,1713198217.1242871,1713198218.9434383,1.81915,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.26099443435668945,0.245865,1713198227.124427,1713198227.3854215,0.26099,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.2724893093109131,0.256957,1713198237.1245449,1713198237.3970342,0.27249,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.2889266014099121,0.267778,1713198247.1242359,1713198247.4131625,0.28893,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.2712831497192383,0.254253,1713198257.1245418,1713198257.395825,0.27128,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.3580925464630127,0.337424,1713198267.1245694,1713198267.482662,0.35809,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.5693774223327637,0.548277,1713198277.1243834,1713198277.6937609,0.56938,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,1.39396333694458,1.374859,1713198287.1241515,1713198288.5181148,1.39396,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.330859899520874,0.306963,1713198297.1248276,1713198297.4556875,0.33086,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
sending-info-to-central,200,435,0.4547872543334961,0.438706,1713198307.124197,1713198307.5789843,0.45479,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
