name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,worker,cycle
server,2024-04-15-16:23:22.241291,1713198202.2413526,0.0,349519872,2061488128,129761280,4096,935497728,0,0,224186368,49762304,2891776,54463287,2624583,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:27.254893,1713198207.2549832,59.5,349519872,2061488128,129761280,4096,935501824,0,0,224206848,49762304,2891776,54465077,2624797,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:32.243185,1713198212.2432835,0.0,349519872,2137006080,129761280,4096,944050176,0,0,224256000,49762304,2891776,54470466,2625006,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:37.237117,1713198217.2371635,9.8,349519872,2137006080,129761280,4096,944054272,0,0,224260096,49762304,2891776,54472256,2625006,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:42.240287,1713198222.2403486,0.0,349519872,2137006080,129761280,4096,944058368,0,0,224268288,49762304,2895872,54474046,2625150,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:47.241919,1713198227.2419786,10.0,349519872,2137006080,129761280,4096,944058368,0,0,224268288,49762304,2895872,54475836,2625150,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:52.241122,1713198232.2411816,0.0,349519872,2137006080,129761280,4096,944062464,0,0,224276480,49762304,2895872,54477626,2625294,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:23:57.243530,1713198237.243596,59.6,349519872,2137006080,129761280,4096,944062464,0,0,224276480,49762304,2899968,54479416,2625368,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:02.244688,1713198242.244763,0.0,349519872,2137006080,129761280,4096,944062464,0,0,224280576,49762304,2899968,54481206,2625512,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:07.248282,1713198247.2483554,59.8,349519872,2137006080,129761280,4096,944062464,0,0,224280576,49762304,2899968,54482996,2625582,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:12.240489,1713198252.2405548,0.0,349519872,2137006080,129761280,4096,944066560,0,0,224288768,49762304,2899968,54484786,2625726,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:17.245429,1713198257.2454977,9.9,349519872,2137006080,129761280,4096,944066560,0,0,224288768,49762304,2899968,54486576,2625726,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:22.242292,1713198262.2423584,0.0,349519872,2137006080,129761280,4096,944070656,0,0,224296960,49762304,2908160,54488366,2625870,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:27.250981,1713198267.2510319,67.9,349519872,2137006080,129761280,4096,944070656,0,0,224296960,49762304,2908160,54490156,2626014,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:32.239379,1713198272.2394497,0.0,349519872,2137006080,129761280,4096,944070656,0,0,224292864,49762304,2908160,54491946,2626158,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:37.241399,1713198277.2414553,9.9,349519872,2137006080,129761280,4096,944070656,0,0,224292864,49762304,2908160,54493736,2626158,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:42.236596,1713198282.2366455,0.0,349519872,2137006080,129761280,4096,944070656,0,0,224301056,49762304,2912256,54495526,2626302,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:47.243125,1713198287.243189,59.9,349519872,2137006080,129761280,4096,944070656,0,0,224301056,49762304,2912256,54497316,2626372,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:52.238135,1713198292.2382019,0.0,349650944,2136989696,129761280,4096,953966592,0,0,224354304,49762304,2912256,54499106,2626516,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
server,2024-04-15-16:24:57.245927,1713198297.2460017,59.7,349650944,2136989696,129761280,4096,953966592,0,0,224354304,49762304,2916352,54500896,2626590,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
