name,action-time-start,action-time-end,action-total-seconds,worker,cycle
store-training-context,1713198372.4017785,1713198373.0933366,0.69156,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
preprocess-into-train-test-and-evalute-tensors,1713198387.1273534,1713198391.4369292,4.30958,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
local-model-training,1713198447.1273608,1713198516.3969321,69.26957,66e8acb0-574e-4392-a8ab-cdcb9fca760a,1
store-training-context,1713198652.1343706,1713198652.308742,0.17437,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
preprocess-into-train-test-and-evalute-tensors,1713198657.126486,1713198660.5716884,3.4452,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
local-model-training,1713198687.1275604,1713198751.5776708,64.45011,66e8acb0-574e-4392-a8ab-cdcb9fca760a,2
store-training-context,1713198851.5752754,1713198851.7254155,0.15014,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
preprocess-into-train-test-and-evalute-tensors,1713198867.1273322,1713198871.6386595,4.51133,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
local-model-training,1713198927.1280386,1713198996.403409,69.27537,66e8acb0-574e-4392-a8ab-cdcb9fca760a,3
store-training-context,1713199091.7353418,1713199091.8871126,0.15177,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
preprocess-into-train-test-and-evalute-tensors,1713199107.1268299,1713199111.0356274,3.9088,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
local-model-training,1713199167.1283488,1713199244.0790403,76.95069,66e8acb0-574e-4392-a8ab-cdcb9fca760a,4
store-training-context,1713199371.813048,1713199371.9785643,0.16552,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
preprocess-into-train-test-and-evalute-tensors,1713199377.1262655,1713199381.1232083,3.99694,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
local-model-training,1713199407.1272614,1713199472.5446832,65.41742,66e8acb0-574e-4392-a8ab-cdcb9fca760a,5
store-training-context,1713199527.8589664,1713199528.0153172,0.15635,66e8acb0-574e-4392-a8ab-cdcb9fca760a,6
store-training-context,1713198376.375196,1713198377.0260818,0.65089,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
preprocess-into-train-test-and-evalute-tensors,1713198387.1506906,1713198391.4387693,4.28808,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
local-model-training,1713198447.1518543,1713198517.4678822,70.31603,e773520a-073e-4b2e-8f27-15275cfd8d4e,1
store-training-context,1713198655.6936653,1713198655.831671,0.13801,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
preprocess-into-train-test-and-evalute-tensors,1713198657.1506207,1713198661.2378824,4.08726,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
local-model-training,1713198687.1515799,1713198753.126935,65.97536,e773520a-073e-4b2e-8f27-15275cfd8d4e,2
store-training-context,1713198855.7756464,1713198855.9643018,0.18866,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
preprocess-into-train-test-and-evalute-tensors,1713198867.1509478,1713198871.5076308,4.35668,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
local-model-training,1713198927.151447,1713198999.4810078,72.32956,e773520a-073e-4b2e-8f27-15275cfd8d4e,3
store-training-context,1713199095.8209262,1713199095.9653842,0.14446,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
preprocess-into-train-test-and-evalute-tensors,1713199107.1503963,1713199110.653676,3.50328,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
local-model-training,1713199167.1521494,1713199247.5331867,80.38104,e773520a-073e-4b2e-8f27-15275cfd8d4e,4
store-training-context,1713199375.2787733,1713199375.4162204,0.13745,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
preprocess-into-train-test-and-evalute-tensors,1713199377.1506462,1713199380.7720523,3.62141,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
local-model-training,1713199407.1515946,1713199474.7368119,67.58522,e773520a-073e-4b2e-8f27-15275cfd8d4e,5
store-training-context,1713199528.4074683,1713199528.5015287,0.09406,e773520a-073e-4b2e-8f27-15275cfd8d4e,6
