name,date,time,cpu-percent,ram-percent,ram-total-bytes,ram-free-bytes,ram-used-bytes,disk-total-bytes,disk-free-bytes,disk-used-bytes,network-sent-bytes,network-received-bytes,network-packets-sent,network-packets-received,network-packets-sending-errors,network-packets-reciving-errors,network-packets-outgoing-dropped,network-packets-incoming-dropped,cycle
system,2024-04-15-15:14:06.358070,1713194046.3581553,13.9,69.6,16650469376,1302020096,9985835008,370490241024,95801425920,255793897472,49986994,66949707,8899,9219,0,0,0,0,1
system,2024-04-15-15:14:27.429757,1713194067.429798,16.5,70.8,16650469376,1062555648,10218958848,370490241024,95767359488,255827963904,82255793,117865518,10399,11017,0,0,0,0,1
system,2024-04-15-15:14:36.355757,1713194076.355828,12.5,70.6,16650469376,1075875840,10191384576,370490241024,95751663616,255843659776,96549169,118117225,11092,11467,0,0,0,0,1
system,2024-04-15-15:14:46.358047,1713194086.3581283,32.1,70.7,16650469376,1051774976,10213511168,370490241024,95750270976,255845052416,96747071,118295176,11380,11742,0,0,0,0,1
system,2024-04-15-15:14:56.352807,1713194096.352884,18.8,73.7,16650469376,538050560,10708557824,370490241024,95717273600,255878049792,128929463,134450742,12567,12599,0,0,0,0,1
system,2024-04-15-15:15:06.358621,1713194106.3586783,6.2,71.1,16650469376,962277376,10243846144,370490241024,95683325952,255911997440,161275039,134720130,13560,13101,0,0,0,0,1
system,2024-04-15-15:15:16.421333,1713194116.4213858,14.8,72.0,16650469376,788168704,10398994432,370490241024,95674142720,255921180672,161546400,150666811,14224,13922,0,0,0,0,1
system,2024-04-15-15:15:26.364564,1713194126.3646252,23.7,72.0,16650469376,774995968,10412011520,370490241024,95672635392,255922688000,161765805,150864861,14498,14185,0,0,0,0,1
system,2024-04-15-15:15:36.649224,1713194136.6492853,25.3,72.1,16650469376,764231680,10420592640,370490241024,95671091200,255924232192,162018836,151100197,14816,14484,0,0,0,0,1
system,2024-04-15-15:15:46.593750,1713194146.593838,20.3,72.1,16650469376,758415360,10424385536,370490241024,95669698560,255925624832,162271972,151332567,15115,14766,0,0,0,0,1
system,2024-04-15-15:15:56.566340,1713194156.5664349,51.4,72.1,16650469376,756670464,10424107008,370490241024,95668297728,255927025664,162515839,151555728,15388,15031,0,0,0,0,1
system,2024-04-15-15:16:06.649011,1713194166.649083,30.4,72.1,16650469376,750252032,10423238656,370490241024,95666356224,255928967168,162787293,151806839,15685,15315,0,0,0,0,1
system,2024-04-15-15:16:16.615112,1713194176.6151972,24.1,72.1,16650469376,750833664,10422894592,370490241024,95664877568,255930445824,163084905,152085168,15995,15616,0,0,0,0,1
system,2024-04-15-15:16:26.379949,1713194186.3800151,15.9,72.1,16650469376,747261952,10421788672,370490241024,95663415296,255931908096,163354767,152333453,16274,15880,0,0,0,0,1
system,2024-04-15-15:16:36.401119,1713194196.4011617,15.6,72.1,16650469376,741158912,10418065408,370490241024,95661735936,255933587456,163632510,152589812,16559,16145,0,0,0,0,1
system,2024-04-15-15:16:46.426890,1713194206.426964,18.3,72.2,16650469376,731951104,10424655872,370490241024,95659999232,255935324160,163939265,152877552,16866,16434,0,0,0,0,1
system,2024-04-15-15:16:56.356089,1713194216.3561285,16.0,72.1,16650469376,738783232,10418270208,370490241024,95658409984,255936913408,164279612,153196581,17194,16749,0,0,0,0,1
system,2024-04-15-15:17:06.354735,1713194226.3547955,15.7,72.2,16650469376,703213568,10425712640,370490241024,95640641536,255954681856,180436024,153603957,18658,17731,0,0,0,0,1
system,2024-04-15-15:17:16.354281,1713194236.3543792,6.0,72.2,16650469376,699084800,10430013440,370490241024,95639027712,255956295680,180799831,153939308,18975,18033,0,0,0,0,1
system,2024-04-15-15:17:26.354620,1713194246.354683,6.2,72.2,16650469376,697581568,10429083648,370490241024,95637250048,255958073344,181128134,154238325,19257,18302,0,0,0,0,1
system,2024-04-15-15:18:06.356560,1713194286.356647,68.3,75.5,16650469376,370323456,10958589952,370490241024,95617085440,255978237952,276918821,219362063,23992,22144,0,0,0,0,1
system,2024-04-15-15:18:16.354258,1713194296.3543153,7.2,76.5,16650469376,462716928,11180392448,370490241024,95560241152,256035082240,277361531,219771103,24339,22478,0,0,0,0,1
system,2024-04-15-15:18:26.354573,1713194306.3546352,9.0,76.6,16650469376,452681728,11192074240,370490241024,95559827456,256035495936,277735660,220110312,24620,22754,0,0,0,0,1
system,2024-04-15-15:18:36.358737,1713194316.3588119,3.8,76.6,16650469376,444751872,11198312448,370490241024,95559352320,256035971072,278148110,220488942,24935,23057,0,0,0,0,1
system,2024-04-15-15:18:46.354467,1713194326.3545377,12.5,76.6,16650469376,441937920,11200049152,370490241024,95558868992,256036454400,278567207,220873685,25241,23354,0,0,0,0,1
system,2024-04-15-15:18:56.353905,1713194336.3539572,6.3,74.1,16650469376,864010240,10776920064,370490241024,95558397952,256036925440,278995675,221267607,25547,23648,0,0,0,0,1
system,2024-04-15-15:19:06.354873,1713194346.3549461,66.3,73.6,16650469376,891801600,10686885888,370490241024,95533277184,256062046208,279403789,221640597,25833,23928,0,0,0,0,1
system,2024-04-15-15:19:16.367149,1713194356.3672795,77.8,76.7,16650469376,359395328,11203584000,370490241024,95532703744,256062619648,279879149,222082317,26157,24246,0,0,0,0,1
system,2024-04-15-15:19:26.355725,1713194366.3558,76.9,76.7,16650469376,352665600,11197181952,370490241024,95532081152,256063242240,280338550,222507777,26482,24557,0,0,0,0,1
system,2024-04-15-15:19:36.355373,1713194376.3554463,59.0,77.1,16650469376,274841600,11238129664,370490241024,95531421696,256063901696,280804130,222939071,26793,24860,0,0,0,0,1
system,2024-04-15-15:19:46.356174,1713194386.3562813,65.8,77.1,16650469376,276668416,11243499520,370490241024,95530819584,256064503808,281278516,223379240,27103,25163,0,0,0,0,1
system,2024-04-15-15:19:56.355489,1713194396.3555756,57.6,77.1,16650469376,272338944,11246686208,370490241024,95530221568,256065101824,281728527,223794902,27393,25452,0,0,0,0,1
system,2024-04-15-15:20:06.355924,1713194406.3559873,85.4,77.0,16650469376,300376064,11240488960,370490241024,95529570304,256065753088,282185487,224217150,27681,25738,0,0,0,0,1
system,2024-04-15-15:20:16.355336,1713194416.3554218,58.8,77.0,16650469376,294989824,11244556288,370490241024,95528812544,256066510848,282790247,224791021,28059,26111,0,0,0,0,1
system,2024-04-15-15:20:26.355616,1713194426.355697,58.5,76.9,16650469376,301649920,11236601856,370490241024,95528140800,256067182592,283266059,225231638,28352,26397,0,0,0,0,1
system,2024-04-15-15:20:36.355710,1713194436.3558073,72.5,76.8,16650469376,327868416,11229921280,370490241024,95527415808,256067907584,283749348,225679874,28644,26684,0,0,0,0,1
system,2024-04-15-15:20:46.356129,1713194446.356227,63.2,76.8,16650469376,324087808,11232727040,370490241024,95526621184,256068702208,284276735,226173239,28956,26992,0,0,0,0,1
system,2024-04-15-15:20:56.360689,1713194456.360794,99.0,77.0,16650469376,288968704,11242655744,370490241024,95525851136,256069472256,284812519,226675657,29266,27300,0,0,0,0,1
system,2024-04-15-15:21:06.356709,1713194466.3568048,93.8,77.1,16650469376,292958208,11267612672,370490241024,95524970496,256070352896,285359038,227188638,29573,27607,0,0,0,0,1
system,2024-04-15-15:21:16.357353,1713194476.3574872,83.1,77.3,16650469376,253431808,11263008768,370490241024,95524077568,256071245824,285969099,227747250,29907,27941,0,0,0,0,1
system,2024-04-15-15:21:26.356802,1713194486.3569086,83.7,77.4,16650469376,233525248,11260923904,370490241024,95523282944,256072040448,286492086,228234980,30203,28229,0,0,0,0,1
system,2024-04-15-15:21:36.356668,1713194496.3567665,60.7,77.3,16650469376,242556928,11282841600,370490241024,95522324480,256072998912,287062598,228771471,30514,28536,0,0,0,0,1
system,2024-04-15-15:21:46.359056,1713194506.359132,65.0,77.4,16650469376,238469120,11289513984,370490241024,95521447936,256073875456,287643047,229317452,30833,28844,0,0,0,0,1
system,2024-04-15-15:21:56.353535,1713194516.3536015,67.9,77.3,16650469376,223313920,11283259392,370490241024,95507984384,256087339008,288233471,229874624,31158,29159,0,0,0,0,1
system,2024-04-15-15:22:06.360517,1713194526.3605783,10.1,77.0,16650469376,295415808,11251740672,370490241024,95469416448,256125906944,288979315,230588571,31604,29599,0,0,0,0,1
system,2024-04-15-15:22:16.357059,1713194536.3571455,11.5,77.0,16650469376,282374144,11264684032,370490241024,95468347392,256126976000,289672158,231247904,31954,29939,0,0,0,0,1
system,2024-04-15-15:22:26.354620,1713194546.3546832,6.1,77.1,16650469376,269570048,11275870208,370490241024,95467417600,256127905792,290247835,231788017,32249,30230,0,0,0,0,1
system,2024-04-15-15:22:36.354606,1713194556.3546681,15.2,77.1,16650469376,260620288,11283144704,370490241024,95466373120,256128950272,290831405,232335889,32544,30519,0,0,0,0,1
system,2024-04-15-15:22:46.354988,1713194566.3550549,14.8,77.2,16650469376,262373376,11296784384,370490241024,95483924480,256111398912,294318950,235783975,33517,31446,0,0,0,0,2
system,2024-04-15-15:22:56.352354,1713194576.3524053,32.9,76.5,16650469376,560140288,11133542400,370490241024,95467708416,256127614976,310486601,251885535,34574,32288,0,0,0,0,2
system,2024-04-15-15:23:06.354572,1713194586.354632,8.6,75.0,16650469376,771739648,10888335360,370490241024,95435354112,256159969280,342725998,252090881,35573,32780,0,0,0,0,2
system,2024-04-15-15:23:16.354635,1713194596.3547094,6.1,75.1,16650469376,762204160,10899742720,370490241024,95435120640,256160202752,342945810,252264454,35879,33070,0,0,0,0,2
system,2024-04-15-15:23:26.359763,1713194606.359847,3.8,75.0,16650469376,768700416,10892390400,370490241024,95434850304,256160473088,343152242,252423206,36148,33323,0,0,0,0,2
system,2024-04-15-15:23:36.354243,1713194616.354303,21.0,75.2,16650469376,726351872,10917068800,370490241024,95418523648,256176799744,359455625,268653667,37397,34310,0,0,0,0,2
system,2024-04-15-15:23:46.354168,1713194626.3542445,7.3,75.2,16650469376,732495872,10910081024,370490241024,95418195968,256177127424,359692109,268843838,37684,34587,0,0,0,0,2
system,2024-04-15-15:23:56.354073,1713194636.354125,7.4,75.2,16650469376,722477056,10919256064,370490241024,95417876480,256177446912,359922746,269027886,37956,34855,0,0,0,0,2
system,2024-04-15-15:24:06.354214,1713194646.3542714,3.8,75.2,16650469376,725377024,10915221504,370490241024,95417425920,256177897472,360161497,269220048,38230,35125,0,0,0,0,2
system,2024-04-15-15:24:26.355210,1713194666.3552988,44.2,76.4,16650469376,518770688,11115737088,370490241024,95416614912,256178708480,431666861,317699677,41509,37749,0,0,0,0,2
system,2024-04-15-15:24:36.356354,1713194676.356434,68.8,78.4,16650469376,155676672,11462897664,370490241024,95416393728,256178929664,455529320,333870949,42638,38627,0,0,0,0,2
system,2024-04-15-15:24:46.354654,1713194686.3547215,9.8,74.5,16650469376,732782592,10849325056,370490241024,95373651968,256221671424,455856423,334146276,42996,38965,0,0,0,0,2
system,2024-04-15-15:24:56.354145,1713194696.354207,18.2,74.5,16650469376,733556736,10847621120,370490241024,95373209600,256222113792,456155150,334392241,43294,39251,0,0,0,0,2
system,2024-04-15-15:25:06.362013,1713194706.3621025,58.4,75.0,16650469376,642293760,10919137280,370490241024,95372726272,256222597120,456444260,334627500,43575,39518,0,0,0,0,2
system,2024-04-15-15:25:16.354064,1713194716.3541365,46.2,75.2,16650469376,597975040,10950807552,370490241024,95358107648,256237215744,456800979,334933081,43929,39851,0,0,0,0,2
system,2024-04-15-15:25:26.354773,1713194726.3548443,51.9,75.1,16650469376,598556672,10949107712,370490241024,95357554688,256237768704,457107962,335185819,44218,40120,0,0,0,0,2
system,2024-04-15-15:25:36.356338,1713194736.356426,55.4,75.2,16650469376,589922304,10956591104,370490241024,95356985344,256238338048,457442759,335467293,44525,40406,0,0,0,0,2
system,2024-04-15-15:25:46.354412,1713194746.3544796,53.7,75.2,16650469376,582643712,10960220160,370490241024,95356416000,256238907392,457787269,335758233,44838,40694,0,0,0,0,2
system,2024-04-15-15:25:56.354067,1713194756.3541396,48.8,75.2,16650469376,582737920,10941644800,370490241024,95355756544,256239566848,458149007,336038017,45133,40979,0,0,0,0,2
system,2024-04-15-15:26:06.355615,1713194766.35569,67.5,75.4,16650469376,549732352,10957025280,370490241024,95353909248,256241414144,458513847,336351111,45449,41282,0,0,0,0,2
system,2024-04-15-15:26:16.357832,1713194776.3579636,60.8,75.3,16650469376,559112192,10972798976,370490241024,95353221120,256242102272,458931470,336717106,45794,41609,0,0,0,0,2
system,2024-04-15-15:26:26.354886,1713194786.3549578,55.7,75.3,16650469376,560881664,10969911296,370490241024,95352598528,256242724864,459289133,337020884,46082,41882,0,0,0,0,2
system,2024-04-15-15:26:36.355807,1713194796.355894,60.8,75.3,16650469376,553811968,10967298048,370490241024,95351877632,256243445760,459654446,337332244,46372,42156,0,0,0,0,2
system,2024-04-15-15:26:46.355039,1713194806.3551104,80.0,75.3,16650469376,548679680,10973716480,370490241024,95351107584,256244215808,460052980,337677799,46683,42451,0,0,0,0,2
system,2024-04-15-15:26:56.355437,1713194816.355517,81.7,75.3,16650469376,553189376,10967949312,370490241024,95350366208,256244957184,460489400,338063090,47026,42778,0,0,0,0,2
system,2024-04-15-15:27:06.358171,1713194826.3582952,66.7,75.3,16650469376,551059456,10966183936,370490241024,95349592064,256245731328,460878202,338398142,47316,43055,0,0,0,0,2
system,2024-04-15-15:27:16.355360,1713194836.3554387,59.8,75.4,16650469376,535203840,10970275840,370490241024,95348809728,256246513664,461328163,338795772,47643,43368,0,0,0,0,2
system,2024-04-15-15:27:26.354661,1713194846.3547297,58.0,75.4,16650469376,539271168,10964832256,370490241024,95347945472,256247377920,461733163,339147168,47937,43648,0,0,0,0,2
system,2024-04-15-15:27:36.355151,1713194856.355218,76.3,75.4,16650469376,528859136,10976129024,370490241024,95346991104,256248332288,462174101,339535326,48247,43945,0,0,0,0,2
system,2024-04-15-15:27:46.353228,1713194866.353283,19.3,75.5,16650469376,494440448,10994515968,370490241024,95380660224,256214663168,462657103,339967187,48590,44274,0,0,0,0,2
system,2024-04-15-15:27:56.352367,1713194876.3524146,22.5,75.6,16650469376,493441024,11000250368,370490241024,95379791872,256215531520,463086999,340343820,48880,44554,0,0,0,0,2
system,2024-04-15-15:28:06.358650,1713194886.358706,33.3,75.6,16650469376,489070592,11000020992,370490241024,95378546688,256216776704,463635218,340841606,49284,44948,0,0,0,0,2
system,2024-04-15-15:28:16.355047,1713194896.3551395,40.2,75.5,16650469376,498319360,10995961856,370490241024,95377563648,256217759744,464176558,341330616,49628,45280,0,0,0,0,2
system,2024-04-15-15:28:26.354765,1713194906.3548284,7.1,75.5,16650469376,481734656,10997129216,370490241024,95364157440,256231165952,464669288,341736336,49929,45573,0,0,0,0,2
system,2024-04-15-15:28:36.354584,1713194916.3546433,7.4,75.6,16650469376,473792512,11003723776,370490241024,95363198976,256232124416,465178491,342196965,50262,45895,0,0,0,0,2
system,2024-04-15-15:28:46.354476,1713194926.3545353,4.9,75.6,16650469376,462012416,11013701632,370490241024,95362035712,256233287680,465726174,342692454,50607,46233,0,0,0,0,2
system,2024-04-15-15:28:56.353861,1713194936.3539429,8.4,75.3,16650469376,509100032,10965192704,370490241024,95361007616,256234315776,466244418,343158067,50917,46541,0,0,0,0,2
system,2024-04-15-15:29:06.354555,1713194946.3546073,7.4,75.4,16650469376,495173632,10972135424,370490241024,95359750144,256235573248,466772263,343598346,51215,46839,0,0,0,0,2
system,2024-04-15-15:29:16.355349,1713194956.355429,26.8,75.5,16650469376,477868032,10987253760,370490241024,95358664704,256236658688,467378646,344118349,51548,47173,0,0,0,0,2
system,2024-04-15-15:29:26.358571,1713194966.3586357,14.1,75.6,16650469376,463425536,10987020288,370490241024,95354621952,256240701440,470891814,347540234,52503,48093,0,0,0,0,3
system,2024-04-15-15:29:36.354310,1713194976.3543766,12.7,75.4,16650469376,491999232,10970021888,370490241024,95353716736,256241606656,471077875,347662303,52743,48338,0,0,0,0,3
system,2024-04-15-15:29:46.354440,1713194986.354501,24.0,75.3,16650469376,510844928,10950426624,370490241024,95353397248,256241926144,471297296,347814459,53029,48613,0,0,0,0,3
system,2024-04-15-15:29:56.353925,1713194996.3540018,11.2,75.1,16650469376,535564288,10924924928,370490241024,95353106432,256242216960,471516414,347966028,53300,48872,0,0,0,0,3
system,2024-04-15-15:30:06.354778,1713195006.3548367,13.4,75.0,16650469376,549847040,10910158848,370490241024,95352639488,256242683904,471783463,348127569,53577,49139,0,0,0,0,3
system,2024-04-15-15:30:16.352649,1713195016.352718,19.9,76.5,16650469376,290701312,11152220160,370490241024,95336370176,256258953216,488033230,364302869,54380,49927,0,0,0,0,3
