name,epochs,batches,average-batch-size,action-time-start,action-time-end,action-total-seconds,cycle
logistic-regression-training,10,5,720000.0,1713194110.0823252,1713194212.2485785,102.16625,1
logistic-regression-testing,0,1563,63.97952655150352,1713194212.2788372,1713194217.3919263,5.11309,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194217.5206468,1713194222.187457,4.66681,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194557.16321,1713194562.0677795,4.90457,1
logistic-regression-evaluation,0,1563,63.97952655150352,1713194957.2216618,1713194963.9803236,6.75866,2
logistic-regression-evaluation,0,1563,63.97952655150352,1713195357.020698,1713195361.6003737,4.57968,3
logistic-regression-evaluation,0,1563,63.97952655150352,1713195807.4236255,1713195812.9044697,5.48084,4
logistic-regression-evaluation,0,1563,63.97952655150352,1713196207.2725716,1713196212.8198566,5.54729,5
