name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,cycle
server,2024-04-15-15:14:01.470835,1713194041.4708972,19.9,351928320,2498682880,126746624,4096,1061953536,0,0,339824640,64376832,57344,55502224,24220,1
server,2024-04-15-15:14:06.474428,1713194046.474482,57.8,352190464,2507091968,126746624,4096,1070366720,0,0,338386944,64376832,57344,55524665,24809,1
server,2024-04-15-15:14:22.824039,1713194062.8240995,102.9,1087102976,3309056000,128712704,4096,1829003264,0,0,648818688,64446464,61440,55526440,26097,1
server,2024-04-15-15:14:27.793612,1713194067.7936964,39.1,600797184,2796908544,128843776,4096,1367879680,0,0,579641344,64446464,61440,55544363,26407,1
server,2024-04-15-15:14:31.479362,1713194071.4794557,39.8,708247552,2974580736,131727360,4096,1458917376,0,0,696025088,64446464,61440,55558279,26830,1
server,2024-04-15-15:14:36.481536,1713194076.4815931,58.4,546848768,2888445952,131727360,4096,1325694976,0,0,534642688,64446464,65536,55576202,27187,1
server,2024-04-15-15:14:41.474424,1713194081.474484,29.9,546848768,2888445952,131727360,4096,1325694976,0,0,534675456,64446464,65536,55577977,27338,1
server,2024-04-15-15:14:46.475091,1713194086.4751515,48.4,546848768,2888445952,131727360,4096,1325694976,0,0,534675456,64446464,65536,55595900,27613,1
server,2024-04-15-15:14:53.460921,1713194093.4609764,102.6,988336128,3310825472,131727360,4096,1763631104,0,0,960258048,64446464,65536,55597675,27762,1
server,2024-04-15-15:14:56.485123,1713194096.4851823,118.8,1093873664,3619495936,131727360,4096,1894928384,0,0,1081749504,64446464,65536,55615773,27762,1
server,2024-04-15-15:15:01.939325,1713194101.9393907,159.4,1023131648,3514298368,131727360,4096,1793744896,0,0,1010810880,64446464,65536,55617548,28105,1
server,2024-04-15-15:15:06.492807,1713194106.4928868,9.8,584306688,3118604288,131727360,4096,1409163264,0,0,571887616,64446464,69632,55635646,28673,1
server,2024-04-15-15:15:11.487267,1713194111.4873364,129.5,735010816,3224539136,136183808,4096,1555865600,0,0,722726912,76640256,15757312,74810527,15713120,1
server,2024-04-15-15:15:16.726634,1713194116.7267015,112.3,754733056,3242377216,141426688,4096,1615085568,0,0,742612992,76640256,15757312,74828460,15713395,1
