name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713194038.1644804,1713194038.315603,0.15112,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713194038.165366,1713194038.370861,0.2055,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713194038.1609082,1713194038.2473056,0.0864,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713194038.169019,1713194038.481955,0.31294,1
start-pipeline,1713194038.154785,1713194041.0250707,2.87029,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713194044.3718867,1713194044.5030022,0.13112,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713194044.5555787,1713194044.6659083,0.11033,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713194044.4481726,1713194044.6997836,0.25161,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713194044.4080617,1713194044.8282385,0.42018,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713194054.9991598,1713194058.615708,3.61655,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713194055.9423225,1713194058.8430688,2.90075,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713194055.474795,1713194060.5392237,5.06443,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713194055.941113,1713194058.9501607,3.00905,1
central-worker-data-split,1713194046.3543112,1713194063.1154585,16.76115,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713194065.1802585,1713194068.035291,2.85503,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713194065.182501,1713194068.0826793,2.90018,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713194065.1499903,1713194067.7373226,2.58733,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713194065.1767566,1713194067.928553,2.7518,1
preprocess-into-train-test-and-evalute-tensors,1713194063.3795357,1713194069.0391805,5.65964,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713194074.3652813,1713194074.4294176,0.06414,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713194074.406507,1713194074.5046976,0.09819,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713194074.4506524,1713194074.8486803,0.39803,1
store-worker-a53e6dc2-a4dd-4514-b9f8-0f337fbc6816,1713194074.7873607,1713194075.0120702,0.22471,1
store-worker-af5b7dae-cb38-4c82-994d-4e8b8c198a27,1713194084.3641362,1713194084.479704,0.11557,1
store-worker-0f6c6657-b591-4523-935d-1abd09835f5e,1713194084.4417784,1713194084.597096,0.15532,1
store-worker-d23a4790-2964-4b15-99ec-eee56d5c60bd,1713194084.406769,1713194084.6281247,0.22136,1
